Athlete,Country,01.03.2025,06.12.2025,13.12.2025,14.11.2025,15.03.2025,21.11.2025,22.02.2025,25.01.2025,29.12.2025,31.01.2025
Albertus (Bart) Hoolwerf,NED,,,,,,,,,2.843999999999994,
Alessio Trentini,ITA,,,,,,2.3299999999999983,,,,
Allan Dahl Johansson,NOR,2.421999999999983,,,2.852000000000004,,,,2.075999999999979,,2.4679999999999893
Altaj Zjardembekuly,KAZ,2.1219999999999857,,,,,,3.0379999999999967,2.48599999999999,,
Anders Johnson,CAN,1.681999999999988,1.5759999999999934,1.411999999999992,1.6620000000000061,,1.3999999999999915,,1.215999999999994,,1.6479999999999961
Arjen Boersma,NED,,,,,,,,,6.003999999999991,
Artur Galiyev,KAZ,,2.495999999999995,1.2719999999999914,1.9120000000000061,,2.049999999999997,,,,
Bjørn Magnussen,NOR,1.3219999999999885,1.7160000000000082,1.2319999999999993,1.632000000000005,1.5860000000000127,1.2999999999999972,2.118000000000009,1.6359999999999815,,2.087999999999994
Botond Bejczi,HUN,,2.7560000000000002,,,,,,,,
Bálint Bödei,HUN,,,4.211999999999989,,,,,,,
Connor Howe,CAN,0.3019999999999925,,,3.2220000000000084,0.8360000000000127,,1.4380000000000024,0.9259999999999877,,0.7579999999999956
Conor Mcdermott-Mostowy,USA,1.3319999999999936,0.4660000000000082,0.33199999999999363,0.5820000000000078,,0.9599999999999937,1.7080000000000126,1.6659999999999826,,1.0879999999999939
Cooper Mcleod,USA,-0.5080000000000098,0.5859999999999985,0.6919999999999931,,0.08600000000001273,-0.04999999999999716,-0.15200000000000102,1.0359999999999872,,0.22799999999999443
Cornelius Kersten,GBR,,2.396000000000001,,1.8520000000000039,,2.0999999999999943,,,,
Cosmin Nedelea,ROU,,,,4.372000000000014,,4.429999999999993,,4.165999999999983,,
Cristian Landrø Magnussen,NOR,,,3.2519999999999953,,,,2.3980000000000103,,,4.018000000000001
Cédrick Brunet,CAN,,2.2860000000000014,,,,,,,,
Damian Żurek,POL,0.8019999999999925,0.10599999999999454,-0.2079999999999984,-0.41799999999999216,0.416000000000011,0.23000000000000398,0.30800000000000693,0.4759999999999849,,0.6979999999999933
Daniel Milagros,ESP,,,3.381999999999991,11.472000000000008,,9.319999999999993,3.618000000000009,4.415999999999983,,3.1979999999999933
Daniele Di Stefano,ITA,1.7519999999999811,1.5060000000000002,1.3219999999999885,1.5520000000000067,,1.5400000000000063,2.2480000000000047,2.035999999999987,,1.4379999999999882
David Bosa,ITA,,,,2.382000000000005,3.0860000000000127,1.7399999999999949,2.1480000000000103,0.6959999999999837,,0.7879999999999967
David Larue,CAN,1.3619999999999806,,0.9619999999999891,,1.686000000000007,,2.067999999999998,1.6459999999999866,,1.3179999999999978
Emery Lehman,USA,,,,,,,,,,1.828000000000003
Erik Resell,NOR,2.8319999999999936,,1.7819999999999965,,,,3.0180000000000007,,,
Finn Elias Haneberg,NOR,,2.665999999999997,2.0019999999999953,,,3.1299999999999955,,,,
Finn Sonnekalb,GER,0.931999999999988,-0.32399999999999807,0.8519999999999897,0.0420000000000158,,1.0100000000000051,0.597999999999999,,,
Flavio Gross,SUI,,2.966000000000008,4.0519999999999925,3.4320000000000164,,3.6799999999999926,,,,
Francesco Betti,ITA,2.981999999999985,2.156000000000006,1.6319999999999908,,,,3.058000000000007,2.325999999999979,,2.187999999999988
Gabriel Eduard Nitu,ROU,,4.016000000000005,,,,,,,,
Gabriel Odor,AUT,1.5719999999999885,1.0160000000000053,0.9719999999999942,1.4820000000000135,,1.3499999999999943,3.1980000000000075,2.4159999999999826,,2.048000000000002
Haonan Du,CHN,3.231999999999985,,,,,,4.368000000000009,3.995999999999995,,2.358000000000004
Hendrik Dombek,GER,,0.9060000000000059,1.0319999999999965,0.9220000000000113,1.2160000000000082,0.9699999999999989,1.097999999999999,0.7659999999999911,,0.6280000000000001
Henrik Fagerli Rukke,NOR,,2.0960000000000036,1.7519999999999953,2.9220000000000113,,2.3900000000000006,,2.225999999999985,,2.1979999999999933
Hyeon-Joon.06 Ahn,KOR,,,,,,,,,,1.578000000000003
Hyeon-Min Oh,KOR,2.0419999999999874,2.195999999999998,2.3019999999999925,1.2420000000000186,,1.519999999999996,2.9480000000000075,,,
Ignaz Gschwentner,AUT,,3.7660000000000053,4.35199999999999,3.9520000000000124,,4.090000000000003,,,,
Issa Gunji,JPN,,,,,,,,,,2.4579999999999984
Jakub Piotrowski,POL,,,,,,,3.1880000000000024,,,
Janno Botman,NED,,,,,,,,,1.9439999999999884,
Jeffrey Rosanelli,ITA,,2.8859999999999957,,,,,,,,
Jenning de Boo,NED,-0.9280000000000115,-0.14400000000000546,-0.13800000000000523,-0.09799999999998477,-0.103999999999985,-0.5600000000000023,,-0.6640000000000157,-0.686000000000007,-0.02200000000000557
Jhoan Sebastian Guzman Bitar,ESP,4.411999999999978,,,,,,,,,
