Athlete,Country,01.03.2025,05.12.2025,13.12.2025,14.11.2025,15.03.2025,21.11.2025,22.02.2025,24.01.2025,31.01.2025
Abigail Mccluskey,CAN,2.7479999999999905,,,,,,3.7099999999999937,2.602000000000004,2.8279999999999887
Abigél Mercs,HUN,,6.269999999999982,,5.716000000000008,,6.418000000000006,,,
Alena Lifatova,KAZ,,,5.695999999999998,4.566000000000017,,,,,
Alexa Scott,CAN,,2.019999999999982,1.1459999999999866,1.2460000000000093,,1.4180000000000064,,,
Andżelika Wójcik,POL,,,,,2.1239999999999952,,1.0300000000000011,0.7620000000000005,1.0779999999999887
Angel Daleman,NED,-0.33200000000000784,,,,,,,0.5120000000000005,0.2680000000000007
Anna Kubo,JPN,,,,3.366000000000014,,2.338000000000008,,,
Anna Ostlender,GER,1.8579999999999899,2.2199999999999847,2.7560000000000002,1.8160000000000167,2.343999999999994,1.4680000000000035,1.2600000000000051,1.1920000000000073,0.31799999999999784
Anne Sofie Knutsen Birkedal,NOR,,,7.786000000000001,,,,,,
Antoinette Rijpma-de Jong,NED,-0.5520000000000209,0.029999999999986926,,0.416000000000011,0.3539999999999992,0.31799999999999784,,1.391999999999996,-0.3020000000000067
Arina Ilyachshenko,KAZ,,1.9799999999999756,2.3160000000000025,,,3.828000000000003,,,
Ayano Sato,JPN,0.4479999999999791,,,,,,1.2199999999999989,1.3220000000000027,0.6979999999999933
Brittany Bowe,USA,-0.32200000000001694,-0.2600000000000193,-0.14400000000000546,-0.07399999999998386,1.073999999999998,0.008000000000009777,0.269999999999996,0.5720000000000027,-0.5120000000000005
Brooklyn McDougall,CAN,,3.6699999999999875,4.955999999999989,2.8060000000000116,,2.4879999999999995,,2.2920000000000016,
Béatrice Lamarche,CAN,0.8279999999999887,0.31999999999997897,0.7059999999999889,-0.563999999999993,2.11399999999999,0.117999999999995,2.0,1.0819999999999936,1.6479999999999961
Carina Jagtøyen,NOR,,,,,,,4.25,3.412000000000006,3.167999999999992
Chloé Hoogendoorn,NED,,,,,,,1.5400000000000063,,
Chong Pei,CHN,,,,3.426000000000016,,,,,
Chrysta Rands-Evans,USA,2.907999999999987,2.9099999999999824,3.0459999999999923,3.396000000000015,,3.2580000000000098,3.430000000000007,2.8220000000000027,1.9279999999999973
Darja Vazhenina,KAZ,3.407999999999987,,,,,,2.9000000000000057,3.4720000000000084,
Dongxue Xi,CHN,,,,,,,,2.9720000000000084,2.628
Elizaveta Golubeva,KAZ,,1.4799999999999756,1.0859999999999985,1.456000000000003,,0.9980000000000047,,,
Ellia Smeding,GBR,2.397999999999982,0.6099999999999852,1.0159999999999911,1.206000000000003,,1.597999999999999,,2.8319999999999936,2.2379999999999995
Erin Jackson,USA,,,5.295999999999992,0.3860000000000099,,2.317999999999998,,,
Femke Kok,NED,,-0.3500000000000085,-0.9140000000000015,-0.9039999999999822,-0.17600000000000193,-1.0619999999999976,,,
Fran Vanhoutte,BEL,2.9679999999999893,2.839999999999989,2.0259999999999962,,,2.0180000000000007,3.480000000000004,3.2819999999999965,1.8780000000000001
Giorgia Aiello,ITA,1.5779999999999887,,,,,,2.700000000000003,2.9620000000000033,1.2279999999999944
Greta Myers,USA,,,,,,,2.549999999999997,2.141999999999996,1.1580000000000013
Hana Noake,JPN,,,,3.416000000000011,,,,,
Huidan Jung,KOR,,3.0099999999999767,3.455999999999989,4.306000000000012,,4.597999999999999,,,
Iga Wojtasik,POL,,2.299999999999983,2.245999999999995,2.706000000000003,,2.578000000000003,3.1200000000000045,,
Inessa Shumekova,KAZ,4.057999999999993,,,,,,4.010000000000005,,
Iori Kitahara,JPN,,3.8999999999999915,3.3459999999999894,,,,,,
Isabel Grevelt,NED,,1.7199999999999847,1.5159999999999911,0.5260000000000105,,-0.2819999999999965,1.4699999999999989,,
Isabelle van Elst,BEL,2.0179999999999865,1.6999999999999886,1.2560000000000002,1.4960000000000093,1.6739999999999924,1.9980000000000047,1.2000000000000028,1.0120000000000005,1.0679999999999978
Jeannine Rosner,AUT,,,,2.116000000000014,,,,,
Ju-Lin de Visser,TPE,,,4.116,,,,,,
Julie Nistad Samsonsen,NOR,3.5279999999999916,,,3.1060000000000088,,3.6779999999999973,3.469999999999999,3.182000000000002,2.8279999999999887
Jutta Leerdam,NED,-1.322000000000017,-0.6400000000000148,,-0.9839999999999947,-0.10600000000000875,-0.08199999999999363,,-0.24799999999999045,
Jéssica Carolina Santos Rodrigues,POR,,5.229999999999976,5.5660000000000025,5.736000000000004,,5.397999999999996,,,
Kaitlyn McGregor,SUI,,2.4199999999999875,2.23599999999999,,,1.338000000000008,2.6899999999999977,2.3020000000000067,1.5379999999999967
Kaja Ziomek-Nogal,POL,2.0379999999999825,,,,,,2.219999999999999,2.102000000000004,2.378
Kako Yamane,JPN,,,,,,,,,3.128
Karolina Bosiek,POL,0.04799999999998761,2.4199999999999875,1.1359999999999957,1.1760000000000161,1.3539999999999992,1.9980000000000047,0.769999999999996,1.8319999999999936,1.5779999999999887
Kimi Goetz,USA,,,,,,,,0.9519999999999982,0.0379999999999967
Kristina Shumekova,KAZ,,,,,,,,3.662000000000006,
Kristina Silaeva,KAZ,,2.049999999999983,,1.8560000000000088,1.86399999999999,2.067999999999998,,0.6820000000000022,
Kyeong-Joo Kim,KOR,,,,,,,,2.852000000000004,
Laura Kivioja,FIN,5.657999999999987,5.639999999999986,6.945999999999998,5.146000000000015,,4.617999999999995,5.609999999999999,6.0020000000000095,4.297999999999988
Lea Sophie Scholz,GER,1.5879999999999939,2.1699999999999875,2.1359999999999957,2.0460000000000065,2.6739999999999924,1.8979999999999961,1.8800000000000097,1.4620000000000033,1.2180000000000035
Leewon Lim,KOR,,3.6599999999999824,3.725999999999999,2.706000000000003,,3.2680000000000007,,,
Maddison Pearman,CAN,3.587999999999994,2.7099999999999795,1.9059999999999917,1.8460000000000178,,2.9980000000000047,2.6000000000000085,2.5619999999999976,2.667999999999992
Maria Victoria Rodriguez,ARG,,,,5.236000000000004,,4.628,,,5.188000000000002
