Athlete,Country,01.02.2025,05.12.2025,12.12.2025,15.11.2025,16.03.2025,21.02.2025,22.11.2025,24.01.2025,28.02.2025
Adrian Octavian Fierar,ROU,,,9.687999999999988,,,,7.647999999999996,,
Albertus (Bart) Hoolwerf,NED,,,,,,2.216000000000008,,,
Aleksandr Klenko,KAZ,,,,,,,,6.561999999999998,
Alessio Trentini,ITA,,,,8.152000000000001,,,,,
Alexander Farthofer,AUT,,1.1940000000000026,0.5979999999999848,2.612000000000009,,4.0260000000000105,0.22799999999999443,,
Allan Dahl Johansson,NOR,2.481999999999985,,,4.472000000000008,,,3.4380000000000024,1.9320000000000022,
Andrea Giovannini,ITA,4.201999999999984,,,,,,,4.182000000000002,
Antoine Gélinas-Beaulieu,CAN,,,2.5979999999999848,1.4520000000000124,,,1.1779999999999973,,
Baoshuo Pan,CHN,3.461999999999989,,,,,4.086000000000013,,3.902000000000001,2.382000000000005
Bart Swings,BEL,1.481999999999985,,,,,2.8460000000000036,,2.292000000000016,
Botond Bejczi,HUN,,,5.268000000000001,,,,,,
Bálint Bödei,HUN,,,,5.802000000000007,,,,,
Casey Dawson,USA,2.1319999999999766,2.6440000000000055,2.187999999999988,1.6720000000000113,,,0.9179999999999922,,
Chuanyi Sun,CHN,5.191999999999979,,,,,4.736000000000004,,4.132000000000005,
Connor Howe,CAN,-0.018000000000014893,,,3.882000000000019,-0.06799999999999784,1.406000000000006,,0.6420000000000101,-0.2179999999999893
Conor Mcdermott-Mostowy,USA,4.031999999999982,2.6940000000000026,1.907999999999987,,,6.926000000000002,1.9380000000000024,4.492000000000004,
Cornelius Kersten,GBR,,3.8640000000000043,,7.342000000000013,,,3.417999999999992,,
Daan van der Elst,BEL,,8.783999999999992,7.647999999999996,10.792000000000016,,,7.557999999999993,,
Daniele Di Stefano,ITA,0.6919999999999789,1.343999999999994,0.2879999999999967,0.9120000000000203,1.0220000000000056,1.206000000000003,1.0179999999999865,1.9520000000000124,-0.16799999999999216
Danila Semerikov,UZB,,,,7.702000000000012,,,10.867999999999995,,
David Larue,CAN,1.5419999999999732,2.853999999999999,1.578000000000003,1.102000000000018,2.5319999999999965,2.2860000000000014,1.5479999999999876,1.9120000000000061,2.4720000000000084
Davide Ghiotto,ITA,,,,,,4.256,,,
Demyan Gavrilov,KAZ,,,,,,,,5.192000000000007,
