Athlete,Country,01.02.2025,06.12.2025,12.12.2025,15.11.2025,16.03.2025,21.02.2025,22.11.2025,25.01.2025,28.02.2025,29.12.2025
Abigail Mccluskey,CAN,3.3760000000000048,,,,,3.5420000000000016,,4.859999999999999,3.528000000000006,
Abigél Mercs,HUN,,8.951999999999984,,9.084000000000003,,,8.911999999999992,,,
Ahenaer Adake,CHN,4.715999999999994,4.3419999999999845,2.103999999999985,2.9240000000000066,,3.951999999999998,1.6820000000000022,,,
Aleksandra Sayutina,RUS,,1.8719999999999857,3.403999999999968,,,,4.771999999999991,,,
Alexa Scott,CAN,4.145999999999987,4.431999999999988,3.3139999999999787,,,,3.711999999999989,6.759999999999991,,
Angel Daleman,NED,1.695999999999998,-0.5480000000000302,,1.3440000000000083,,,2.721999999999994,-0.710000000000008,1.097999999999999,3.235999999999976
Anna Kubo,JPN,,,,8.354000000000013,,,,,,
Anna Molnar,AUT,,11.22199999999998,9.713999999999984,9.924000000000007,,,,,,
Antoinette Rijpma-de Jong,NED,-0.534000000000006,-1.1680000000000206,0.48399999999998045,-0.025999999999982037,-0.10200000000000387,,0.24199999999999022,-0.9200000000000017,-0.681999999999988,-0.31400000000000716
Arianna Fontana,ITA,1.725999999999999,,,,,1.8319999999999936,7.841999999999999,,1.8880000000000194,
Arina Ilyachshenko,KAZ,,4.541999999999973,2.9839999999999804,4.624000000000009,,,5.3219999999999885,,,
Aurora Grinden Løvås,NOR,6.3559999999999945,6.771999999999977,3.2839999999999776,4.334000000000003,,4.2620000000000005,3.432000000000002,5.72999999999999,4.7180000000000035,
Ayano Sato,JPN,0.17599999999998772,2.0519999999999783,2.133999999999986,1.754000000000019,3.5279999999999916,1.691999999999993,2.881999999999991,2.9399999999999977,2.7380000000000138,
Binyu Yang,CHN,-0.9140000000000157,0.8319999999999794,1.7339999999999804,1.6540000000000106,3.587999999999994,-0.11800000000000921,1.2519999999999953,2.759999999999991,-1.0719999999999885,
Brittany Bowe,USA,-0.7740000000000009,-0.7280000000000229,-0.09600000000003206,0.724000000000018,1.578000000000003,0.9819999999999851,-0.24800000000000466,0.8899999999999864,-0.402000000000001,
Béatrice Lamarche,CAN,3.8460000000000036,,,2.814000000000007,,,4.311999999999998,5.069999999999993,,
Chloé Hoogendoorn,NED,,,,,,2.7319999999999993,,,,1.015999999999977
Chrysta Rands-Evans,USA,,,,9.12400000000001,,,,,,
Elisa Dul,NED,,,,,,3.1019999999999897,,,,
Elizaveta Golubeva,KAZ,,1.9419999999999789,0.7639999999999816,1.26400000000001,,,1.8419999999999987,,,
Ellia Smeding,GBR,5.146000000000001,2.72199999999998,,4.164000000000016,,,3.231999999999985,6.280000000000001,,
Emily Tormen,ITA,,5.311999999999983,3.363999999999976,5.944000000000017,,,5.751999999999995,,,
Esther Kiel,NED,,,,,,,,,,4.835999999999984
Evelien Vijn,NED,,,,,,,,,,5.765999999999977
Evi de Ruijter,NED,,,,,,,,,,9.32599999999998
Femke Kok,NED,,,,,,,,,,-0.30400000000001626
Francesca Lollobrigida,ITA,-1.9740000000000038,1.9119999999999777,4.823999999999984,,1.2980000000000018,0.7819999999999965,3.971999999999994,0.5600000000000023,-1.2619999999999862,
Giorgia Birkeland,USA,,5.321999999999974,4.903999999999982,6.154000000000011,,,6.171999999999983,,,
Gioya Lancee,NED,,,,,,,,,,3.275999999999982
