Athlete,Country,01.03.2025,13.03.2025,13.12.2025,14.11.2025,21.11.2025,22.02.2025,31.01.2025
Abigail Mccluskey,CAN,11.20199999999997,,9.307999999999993,9.225999999999999,10.158000000000015,6.740000000000009,9.871999999999986
Abigél Mercs,HUN,,,,,23.34800000000004,,
Ahenaer Adake,CHN,6.571999999999974,8.615999999999985,4.9979999999999905,7.426000000000016,6.398000000000025,6.360000000000014,6.931999999999988
Akane Iida,JPN,,,,10.99600000000001,,,
Alice Marletti,ITA,9.111999999999995,15.846000000000004,,12.126000000000005,13.128000000000014,5.870000000000033,6.8919999999999675
Anna Molnar,AUT,,,15.45799999999997,15.915999999999997,11.718000000000018,,17.761999999999972
Arina Ilyachshenko,KAZ,,,,13.165999999999997,,,
Aurora Grinden Løvås,NOR,12.821999999999974,,7.777999999999992,11.116000000000014,5.588000000000022,9.480000000000047,11.47199999999998
Ayano Sato,JPN,4.681999999999988,,,10.325999999999993,5.338000000000022,,
Bente Kerkhoff,NED,,,5.407999999999987,2.3060000000000116,5.768000000000029,,
Binyu Yang,CHN,3.4119999999999777,5.055999999999983,4.887999999999977,8.216000000000008,4.04800000000003,0.44000000000002615,3.791999999999973
Dina Storelid,NOR,23.52199999999999,,17.687999999999988,21.106000000000023,20.868000000000023,17.400000000000006,
Elisa Dul,NED,6.961999999999989,,,6.546000000000021,10.03800000000004,4.310000000000031,
Elizaveta Golubeva,KAZ,,,,3.0460000000000207,5.098000000000013,,
Francesca Lollobrigida,ITA,-1.8280000000000314,1.3659999999999854,4.837999999999994,0.5860000000000127,2.77800000000002,-2.609999999999985,-3.1080000000000325
Gemma Cooper,GBR,,,19.527999999999963,16.206000000000017,21.418000000000035,,
Giorgia Birkeland,USA,,,11.45799999999997,8.156000000000006,8.268000000000029,,13.74199999999999
Greta Myers,USA,9.47199999999998,,,4.596000000000004,4.378000000000014,6.710000000000008,7.321999999999974
Hana Noake,JPN,,,6.107999999999976,9.466000000000008,8.208000000000027,,
Hanna Svenni,NOR,15.181999999999988,,,,,11.650000000000006,14.281999999999982
Ingrid Håkegård Eichler,NOR,,,18.397999999999968,,,,
Isabelle Weidemann,CAN,0.931999999999988,3.095999999999975,-1.4420000000000073,0.7760000000000105,0.3380000000000223,0.5300000000000296,3.231999999999971
Ivanie Blondin,CAN,5.851999999999975,3.595999999999975,4.337999999999994,2.415999999999997,4.098000000000013,3.8600000000000136,6.051999999999964
Jeannine Rosner,AUT,6.151999999999987,,3.72799999999998,3.7560000000000002,2.0980000000000416,10.830000000000013,
Ji-Woo Park,KOR,,,5.527999999999992,5.036000000000001,11.088000000000022,12.360000000000042,
Jiaxuan Li,CHN,,,6.867999999999995,5.246000000000009,4.598000000000013,,
