Athlete,Country,01.02.2025,02.02.2025,02.03.2025,07.12.2025,12.12.2025,14.03.2025,14.12.2025,15.11.2025,16.11.2025,21.02.2025,22.11.2025,23.02.2025,23.11.2025,26.01.2025,28.02.2025
Alec Sklutovsky,USA,,,,,,,,0.6679999999999922,1.2439999999999998,,,,,,
Altaj Zjardembekuly,KAZ,,,0.5,1.141999999999996,0.6479999999999961,,0.5320000000000036,1.0479999999999947,0.9739999999999966,0.5700000000000003,0.37599999999999767,0.5219999999999985,,0.6039999999999992,0.720000000000006
Anders Johnson,CAN,0.25799999999999557,0.09199999999999875,0.38000000000000256,0.5619999999999976,0.5079999999999956,1.0080000000000027,0.632000000000005,0.6779999999999973,0.46399999999999864,0.6400000000000006,0.2560000000000002,0.41199999999999903,0.563999999999993,0.3240000000000052,0.6400000000000006
Antoine Roger,CAN,,,,,,,,,,,,,,1.1440000000000055,
Antoni Pluta,POL,,,,,,,,,,,,1.2419999999999973,,,
Artur Galiyev,KAZ,,,,0.8719999999999999,,,0.4820000000000064,0.9979999999999976,0.9040000000000035,,0.705999999999996,,0.6039999999999921,,
Austin Kleba,USA,0.8179999999999978,0.6519999999999939,,,,,,,,,,,,1.3440000000000012,
Bin Liu,CHN,0.8279999999999959,0.9719999999999942,,,,,,,,,,,,0.6039999999999992,
Bjørn Magnussen,NOR,0.1979999999999933,0.1419999999999959,0.10999999999999943,0.1319999999999979,0.1280000000000001,0.597999999999999,0.2120000000000033,0.0379999999999967,0.1039999999999992,0.29999999999999716,,0.15199999999999392,0.3739999999999952,0.30400000000000205,-0.07000000000000028
Botond Bejczi,HUN,,,,,,,,,,,1.9059999999999988,,,,
Bálint Bödei,HUN,,,2.3399999999999963,,,,,2.1779999999999973,,,,2.2620000000000005,,,2.480000000000004
Christopher Fiola,CAN,0.597999999999999,0.35199999999999676,0.10000000000000142,0.7019999999999982,0.5779999999999959,0.9780000000000015,0.642000000000003,0.4479999999999933,0.37400000000000233,0.9699999999999989,0.3260000000000005,0.4819999999999993,0.5839999999999961,0.6039999999999992,0.3200000000000003
Conor Mcdermott-Mostowy,USA,0.9779999999999944,0.6519999999999939,0.769999999999996,0.7920000000000016,1.2979999999999947,,0.882000000000005,0.857999999999997,0.7439999999999998,1.259999999999998,0.8459999999999965,0.911999999999999,,,0.9299999999999997
Cooper Mcleod,USA,0.13799999999999812,0.07199999999999562,-0.3400000000000034,0.4619999999999962,0.24799999999999756,0.07800000000000296,0.3020000000000067,0.117999999999995,0.1039999999999992,0.18999999999999773,0.02599999999999625,-0.09800000000000608,0.2539999999999978,0.02400000000000091,0.010000000000005116
Cornelius Kersten,GBR,,,,,1.7379999999999995,,,,1.6940000000000026,,,,1.2239999999999966,,
Cristian Landrø Magnussen,NOR,1.1579999999999941,1.191999999999993,0.4799999999999969,1.3719999999999999,1.117999999999995,,0.872000000000007,1.5979999999999919,1.264000000000003,0.9600000000000009,1.2860000000000014,0.7219999999999942,,1.1240000000000023,
Cédrick Brunet,CAN,1.0479999999999947,0.921999999999997,0.7100000000000009,0.652000000000001,0.6479999999999961,,,0.41799999999999216,0.12400000000000233,0.8399999999999963,0.42600000000000193,0.681999999999995,0.4539999999999935,1.524000000000001,0.8100000000000023
Dai Dai Ntab,NED,,,,,,,0.632000000000005,,,,,,,,
Damian Żurek,POL,-0.03200000000000358,-0.07800000000000296,-0.0799999999999983,0.23199999999999932,-0.04200000000000159,0.16799999999999926,-0.33799999999999386,-0.05200000000000671,-0.006000000000000227,0.1700000000000017,-0.13400000000000034,0.25199999999999534,-0.16600000000000392,-0.055999999999997385,0.21000000000000085
Daniel Milagros,ESP,,1.0619999999999976,0.9799999999999969,1.161999999999999,1.2979999999999947,,1.2320000000000064,1.3879999999999981,1.2539999999999978,0.6899999999999977,0.8860000000000028,,,1.4840000000000018,1.1700000000000017
David Bosa,ITA,0.6280000000000001,0.8719999999999999,0.8900000000000006,,,1.2079999999999984,,0.9879999999999924,1.054000000000002,1.3599999999999994,0.5559999999999974,0.8719999999999999,,0.5840000000000032,0.6100000000000065
Erik Resell,NOR,,,,,1.0779999999999959,,1.1020000000000039,,,,,,,,
Gabriel Eduard Nitu,ROU,,,,1.7620000000000005,1.6779999999999973,,1.8120000000000047,1.5179999999999936,1.4140000000000015,,1.2460000000000022,,2.353999999999992,,
Haonan Du,CHN,0.7479999999999976,0.4819999999999993,0.6499999999999986,0.6920000000000002,0.617999999999995,,0.6520000000000081,0.4679999999999964,0.4339999999999975,1.0399999999999991,0.20599999999999596,0.8919999999999959,0.40399999999999636,,0.6900000000000048
Hendrik Dombek,GER,,0.661999999999999,0.6099999999999994,2.0719999999999956,,,,,,1.1400000000000006,,0.7719999999999985,,0.8539999999999992,
Henrik Fagerli Rukke,NOR,0.5879999999999939,0.5619999999999976,,0.9320000000000022,0.607999999999997,,0.5320000000000036,1.2779999999999916,0.9939999999999998,,0.9059999999999988,0.6219999999999999,,0.7540000000000049,0.9400000000000048
Ignaz Gschwentner,AUT,1.9279999999999973,1.5319999999999965,1.2999999999999972,,1.3079999999999998,,1.2320000000000064,1.2479999999999976,1.4540000000000006,1.4799999999999969,1.5959999999999965,1.401999999999994,1.2839999999999918,1.3740000000000023,1.240000000000002
Issa Gunji,JPN,0.5479999999999947,0.24199999999999733,0.4399999999999977,,,,,,,0.759999999999998,,,,0.9840000000000018,0.7700000000000031
Jae-Woong Jeong,KOR,,,,0.911999999999999,0.47799999999999443,,0.5520000000000067,0.34799999999999187,0.4540000000000006,,0.3160000000000025,,0.8439999999999941,,
Jakub Piotrowski,POL,1.2179999999999964,1.0019999999999953,,,,,,,,1.1999999999999957,,,,1.283999999999999,
Janno Botman,NED,,,,,,,,,,0.3299999999999983,,0.08200000000000074,,,
Jeffrey Rosanelli,ITA,,,,0.8719999999999999,0.5379999999999967,,0.4520000000000053,0.7479999999999976,0.7640000000000029,,0.5459999999999994,,0.6139999999999972,,
Jenning de Boo,NED,-0.18200000000000216,0.06199999999999761,-0.4399999999999977,-0.23799999999999955,-0.25200000000000244,-0.20199999999999818,,0.2779999999999916,-0.3059999999999974,,-0.1839999999999975,,0.05399999999999494,-0.2560000000000002,-0.5499999999999972
Jhoan Sebastian Guzman Bitar,ESP,,,,,,,,,,,,1.3619999999999948,,,
Joep Wennemars,NED,,,,,,,,0.377999999999993,0.4140000000000015,,0.34599999999999653,,0.30399999999999494,,
Joon-Ho Kim,KOR,,,-0.4100000000000037,0.09199999999999875,,0.2879999999999967,,0.14799999999999613,-0.1559999999999988,-0.00999999999999801,-0.21399999999999864,-0.1280000000000001,-0.026000000000003354,0.044000000000004036,-0.35999999999999943
Joonas Valge,EST,,,1.8699999999999974,2.192,1.7379999999999995,,1.7720000000000056,2.147999999999996,2.334000000000003,1.7899999999999991,1.695999999999998,1.5419999999999945,1.6539999999999964,,1.75
Jordan Stolz,USA,-0.5520000000000067,-0.2780000000000058,,-0.4380000000000024,-0.49200000000000443,-0.06199999999999761,-0.33799999999999386,-0.07200000000000273,-0.1460000000000008,-0.28999999999999915,,-0.16799999999999926,-0.2260000000000062,-0.27599999999999625,-0.45999999999999375
Kacper Abratkiewicz,POL,,,,0.652000000000001,1.1779999999999973,,0.9220000000000041,0.9779999999999944,1.1640000000000015,1.1599999999999966,0.5959999999999965,,1.2339999999999947,,
Kai in 't Veld,GRE,,,,2.0420000000000016,,,1.5520000000000067,,,,,,,,
Katsuhiro Kuratsubo,JPN,,,-0.30000000000000426,0.012000000000000455,0.2679999999999936,,0.142000000000003,0.9779999999999944,0.9040000000000035,0.519999999999996,0.13600000000000279,0.17199999999999704,0.11399999999999721,,0.0800000000000054
Kyungmin Koo,KOR,,,,0.49199999999999733,0.49799999999999756,,0.32200000000000273,0.10799999999999699,,,0.5060000000000002,,0.3639999999999972,1.0040000000000049,
Laurent Dubreuil,CAN,-0.10200000000000387,-0.1180000000000021,-0.45000000000000284,0.0519999999999996,0.607999999999997,0.08800000000000097,,0.13799999999999812,0.11399999999999721,-0.05000000000000426,0.08599999999999852,-0.30799999999999983,0.17399999999999238,0.014000000000002899,-0.3200000000000003
Marek Kania,POL,0.05799999999999983,-0.028000000000005798,-0.28000000000000114,-0.008000000000002672,,0.2779999999999987,,0.42799999999999727,0.07399999999999807,0.21999999999999886,,-0.24800000000000466,0.16399999999999437,-0.006000000000000227,-0.1599999999999966
Marten Liiv,EST,0.4379999999999953,0.01199999999999335,0.6000000000000014,0.4819999999999993,0.22799999999999443,0.5080000000000027,0.25200000000000244,0.16799999999999216,0.4540000000000006,0.18999999999999773,0.2959999999999994,0.041999999999994486,0.15399999999999636,0.1840000000000046,-0.1599999999999966
Mateusz Mikołajuk,POL,,,0.6899999999999977,,,,,,,,,0.7519999999999953,,,
Mateusz Śliwka,POL,,,,,1.3179999999999978,,,,,,,,,,
Mathias Vosté,BEL,1.2779999999999987,0.8219999999999956,,,,,,,,1.019999999999996,,0.49199999999999733,1.4039999999999964,1.294000000000004,
Mats van den Bos,NED,0.2879999999999967,0.6519999999999939,0.490000000000002,,,,,,,0.6099999999999994,,0.5719999999999956,,0.46400000000000574,0.6600000000000037
Max Kokko,FIN,,,,,,,,,,,,,2.033999999999992,,
Maximilian Strübe,GER,,,,1.2920000000000016,0.9679999999999964,,1.132000000000005,1.1879999999999953,1.1439999999999984,,1.0259999999999962,,1.053999999999995,,
