Athlete,Country,01.02.2025,02.02.2025,02.03.2025,07.12.2025,12.12.2025,14.03.2025,14.12.2025,15.11.2025,16.11.2025,21.02.2025,22.11.2025,23.02.2025,23.11.2025,26.01.2025,28.02.2025
Alena Lifatova,KAZ,,,,2.809999999999995,2.221999999999994,,2.2659999999999982,2.2759999999999962,2.3599999999999994,,,,,,
Andżelika Wójcik,POL,-0.19000000000000483,-0.4860000000000042,,0.4899999999999949,0.41199999999999903,0.2919999999999945,0.08599999999999852,0.17600000000000193,0.3200000000000003,0.12400000000000233,0.240000000000002,-0.39399999999999835,0.44200000000000017,-0.13400000000000034,0.259999999999998
Angel Daleman,NED,,,,0.02999999999999403,,0.5619999999999976,,0.2560000000000002,0.4099999999999966,,0.2600000000000051,,0.12199999999999989,,
Anna Boersma,NED,,,,0.27999999999999403,0.2119999999999962,,0.1460000000000008,0.10600000000000165,0.10999999999999943,,0.10999999999999943,,0.0519999999999996,,
Anna Kubo,JPN,,,,,,,,1.8260000000000005,1.7299999999999969,,1.1500000000000057,,1.3320000000000007,,
Anna Ostlender,GER,0.7100000000000009,0.3739999999999952,0.4440000000000026,1.0499999999999972,,0.9419999999999931,1.1559999999999988,1.1559999999999988,1.1000000000000014,0.8339999999999961,0.8900000000000006,0.6159999999999997,0.9320000000000022,1.4960000000000022,0.6799999999999997
Anne Sofie Knutsen Birkedal,NOR,,,,,2.7819999999999965,,,,,,,,,,
Arina Ilyachshenko,KAZ,,,,1.9499999999999957,1.7319999999999993,,,,,,2.470000000000006,,2.3019999999999996,,
Brittany Bowe,USA,-0.03999999999999915,,,,,,,0.7359999999999971,,,,,,0.5960000000000036,
Brooklyn McDougall,CAN,0.8999999999999986,0.6739999999999995,0.5640000000000001,0.9199999999999946,0.9819999999999993,1.1219999999999928,0.16599999999999682,0.8560000000000016,0.8400000000000034,0.8239999999999981,0.5700000000000003,0.4859999999999971,0.5120000000000005,1.196000000000005,0.8099999999999952
Béatrice Lamarche,CAN,0.8900000000000006,1.1039999999999992,1.024000000000001,0.28999999999999204,0.15199999999999392,,0.19599999999999795,0.13599999999999568,0.3299999999999983,1.083999999999996,0.2700000000000031,,0.23199999999999932,0.9960000000000022,1.0399999999999991
Carina Jagtøyen,NOR,1.3399999999999963,,1.9039999999999964,,,,,,,1.4939999999999998,,1.3960000000000008,,1.666000000000004,
Carolina Hiller-Donnelly,CAN,0.5499999999999972,0.4539999999999935,0.04399999999999693,0.7599999999999909,0.5919999999999987,,0.055999999999997385,1.1359999999999957,0.740000000000002,0.30400000000000205,0.6200000000000045,0.09599999999999653,0.5519999999999996,0.6560000000000059,0.39000000000000057
Chae-Eun Park,KOR,,,1.304000000000002,,,,,,,1.2239999999999966,,1.1659999999999968,,1.3760000000000048,1.3499999999999943
Chloé Hoogendoorn,NED,,,,,,,,,,,,0.4059999999999988,,,
Chong Pei,CHN,,,,1.0699999999999932,1.0619999999999976,,0.3960000000000008,0.6460000000000008,0.8400000000000034,,0.7900000000000063,,0.5719999999999956,,
Chrysta Rands-Evans,USA,1.0599999999999952,1.1340000000000003,0.8440000000000012,1.519999999999996,1.5119999999999933,,1.0559999999999974,1.2759999999999962,1.4099999999999966,1.6240000000000023,1.4299999999999997,0.9759999999999991,1.2519999999999953,1.3560000000000016,1.1499999999999986
Darja Vazhenina,KAZ,,,1.283999999999999,,,1.2419999999999973,,,,0.9739999999999966,,1.2659999999999982,,1.7760000000000034,1.5
Dione Voskamp,NED,-0.14000000000000057,-0.34600000000000364,0.30400000000000205,,,,-0.044000000000004036,,,0.46399999999999864,,0.3260000000000005,,0.21600000000000108,
Dongxue Xi,CHN,1.1999999999999957,1.0039999999999978,,,,,,,,,,,,,
Ellia Smeding,GBR,,1.583999999999996,1.274000000000001,1.019999999999996,0.8919999999999959,,0.5760000000000005,,1.3699999999999974,,,,0.9819999999999993,,2.009999999999998
Erin Jackson,USA,-0.46000000000000085,-0.5060000000000002,-0.7160000000000011,,6.0419999999999945,,3.5659999999999954,-0.29400000000000404,-0.4299999999999997,-0.13600000000000279,-0.14999999999999858,-0.6439999999999984,0.19200000000000017,2.966000000000001,-0.10000000000000142
Femke Kok,NED,-0.740000000000002,-0.9359999999999999,-1.0159999999999982,-0.6500000000000057,-0.8480000000000061,-0.24800000000000466,,-0.6840000000000046,-0.9099999999999966,,-0.6499999999999986,,-0.4380000000000024,-0.2839999999999989,-0.7600000000000051
Fran Vanhoutte,BEL,0.7999999999999972,0.7739999999999938,0.7939999999999969,1.1199999999999974,1.131999999999998,1.0319999999999965,0.5760000000000005,1.1559999999999988,1.0600000000000023,1.1439999999999984,0.7600000000000051,0.705999999999996,1.0619999999999976,1.1060000000000016,0.8999999999999986
Giorgia Aiello,ITA,0.8500000000000014,0.6439999999999984,0.9039999999999964,,,,,1.6259999999999977,2.0700000000000003,1.2139999999999986,1.6000000000000014,0.6460000000000008,1.7119999999999962,1.406000000000006,0.8200000000000003
Hanna Biró,HUN,,,,2.489999999999995,1.7219999999999942,,1.3059999999999974,1.9959999999999951,2.1000000000000014,,2.0400000000000063,,1.8320000000000007,,
Huidan Jung,KOR,,,,1.0599999999999952,0.9019999999999939,,0.3260000000000005,0.8459999999999965,1.0300000000000011,,0.8599999999999994,,0.8219999999999956,,
Iga Wojtasik,POL,,,,,,,,,,0.9540000000000006,,0.5760000000000005,,,
Inessa Shumekova,KAZ,,,1.323999999999998,,,,,,,1.6739999999999995,,1.1360000000000028,,1.8560000000000016,1.6199999999999974
Iori Kitahara,JPN,,,,0.9599999999999937,1.1219999999999999,,0.4859999999999971,0.7359999999999971,1.1099999999999994,,0.6400000000000006,,0.7620000000000005,,
Isabel Grevelt,NED,,,,,0.671999999999997,,,,,,,,,,
Isabelle van Elst,BEL,1.1000000000000014,1.073999999999998,,1.4799999999999969,,,,,,1.333999999999996,1.5100000000000051,,,1.3260000000000005,1.269999999999996
Jasmin Güntert,SUI,,,,,,,,2.725999999999999,2.770000000000003,,,,2.942,,
Jenna Larter,CAN,,,,1.1599999999999966,1.2919999999999945,,0.7259999999999991,1.0259999999999962,1.0499999999999972,,0.7800000000000011,,1.1820000000000022,1.7260000000000062,
Jingziqian Wang,CHN,0.6700000000000017,0.2539999999999978,0.7939999999999969,0.7299999999999969,0.7119999999999962,0.8819999999999979,0.18599999999999994,0.9859999999999971,1.0600000000000023,0.6039999999999992,0.7600000000000051,0.45599999999999596,0.7019999999999982,0.8560000000000016,0.759999999999998
Ju-Lin de Visser,TPE,,,,1.8899999999999935,1.2519999999999953,,1.475999999999999,2.466000000000001,2.5700000000000003,,1.5500000000000043,,1.5719999999999956,,
Julie Nistad Samsonsen,NOR,0.5700000000000003,0.4539999999999935,0.9140000000000015,1.3399999999999963,0.7519999999999953,0.7619999999999933,0.6759999999999948,1.0259999999999962,1.1300000000000026,0.7639999999999958,0.6600000000000037,0.5060000000000002,0.8719999999999999,1.1060000000000016,0.6099999999999994
Jutta Leerdam,NED,-0.030000000000001137,-0.2560000000000002,-0.17600000000000193,-0.29000000000000625,,-0.058000000000006935,,0.015999999999998238,0.3500000000000014,,-0.03999999999999915,,-0.14800000000000324,0.5060000000000002,-0.03999999999999915
Jéssica Carolina Santos Rodrigues,POR,,,,2.9399999999999977,2.5319999999999965,,,3.216000000000001,,,2.740000000000002,,3.7620000000000005,,
Kaitlyn McGregor,SUI,,,,,,,,,,,1.6799999999999997,1.6060000000000016,,2.2860000000000014,
