Athlete,Country,01.03.2025,13.03.2025,13.12.2025,14.11.2025,21.11.2025,22.02.2025,26.12.2025,31.01.2025
Adrian Octavian Fierar,ROU,,,32.96600000000001,,25.95799999999997,,,
Aimé Perreault,CAN,,,,,,,,26.634000000000015
Albertus (Bart) Hoolwerf,NED,,,,,,,7.925999999999988,
Alemasi Kahanbai,CHN,21.175999999999988,,,,,22.670000000000016,,19.403999999999996
Alexander Farthofer,AUT,19.315999999999974,,5.136000000000024,0.23799999999999955,5.1679999999999495,7.860000000000014,,
Andrea Giovannini,ITA,8.475999999999999,,13.386000000000024,17.648000000000025,18.357999999999947,9.060000000000002,,4.783999999999992
Andrey Zuyev,KAZ,,,,,30.427999999999997,,,
Bart Swings,BEL,7.495999999999981,12.745999999999981,4.4360000000000355,8.768000000000029,6.647999999999968,4.980000000000018,,4.533999999999992
Beau Snellink,NED,-2.844000000000051,-0.9639999999999986,5.2760000000000105,5.3180000000000405,2.8279999999999745,,3.1259999999999764,-0.14599999999995816
Bálint Bödei,HUN,,,,35.99800000000005,36.01799999999997,,,
Carl Platt,USA,,,,46.238,,,,39.50400000000002
Casey Dawson,USA,0.6659999999999968,8.515999999999963,3.716000000000008,0.42799999999999727,-2.3220000000000596,2.6899999999999977,,0.12400000000002365
Chris Brommersma,NED,,,,,,,26.325999999999965,
Chris Huizinga,NED,-5.114000000000033,4.065999999999974,4.096000000000004,3.348000000000013,0.9979999999999905,,-0.8840000000000146,5.174000000000035
Daan Gelling,NED,,,,,,,9.69599999999997,
Daan van der Elst,BEL,,,26.976,40.918000000000006,33.287999999999954,,,
Daniel Hall,CAN,,,16.73599999999999,21.32800000000003,12.407999999999959,,,14.093999999999994
Daniele Di Stefano,ITA,11.48599999999999,,,,,12.259999999999991,,
Danila Semerikov,UZB,,,20.076000000000022,23.52800000000002,11.367999999999938,23.350000000000023,,
Davide Ghiotto,ITA,4.286000000000001,0.8659999999999854,3.0860000000000127,3.6680000000000064,1.627999999999986,0.1500000000000341,,-0.9759999999999991
Didrik Eng Strand,NOR,,,,17.168000000000006,27.087999999999965,,,
Ede-Konrad Kortlever,NED,,,,,,,13.94599999999997,
Ethan Cepuran,USA,9.885999999999967,,11.725999999999999,11.408000000000015,8.397999999999968,,,6.574000000000012
Felix Maly,GER,3.5159999999999627,16.73599999999999,8.066000000000031,8.198000000000036,4.407999999999959,13.960000000000036,,5.164000000000044
Filip Møller Nordal,NOR,24.675999999999988,34.59599999999995,22.855999999999995,,,,,
Finn Elias Haneberg,NOR,38.26599999999996,,,,,23.450000000000045,,
Fridtjof Petzold,GER,,13.70599999999996,4.256000000000029,8.088000000000022,4.587999999999965,13.300000000000011,,3.174000000000035
Gabriel Groß,GER,,,5.716000000000008,2.77800000000002,6.147999999999968,,,
Germain Deschamps,FRA,16.036,,,,,13.300000000000011,,8.414000000000044
Giovanni Trebouta,FRA,23.93599999999998,,8.286000000000001,9.677999999999997,7.787999999999954,12.710000000000036,,13.124000000000024
Graeme Fish,CAN,7.045999999999992,11.045999999999992,12.105999999999995,13.988,12.267999999999972,10.350000000000023,,7.704000000000008
Hallgeir Engebråten,NOR,,,,,,,,11.954000000000008
