Athlete,Country,05.12.2025,15.03.2025,24.01.2025
Ahenaer Adake,CHN,16.651999999999987,17.94999999999999,11.573999999999955
Alice Marletti,ITA,,,16.963999999999942
Anastasiia Grigoreva,RUS,36.071999999999946,,
Anna Molnar,AUT,30.77199999999999,,29.273999999999944
Aurora Grinden Løvås,NOR,,,24.913999999999987
Bente Kerkhoff,NED,7.401999999999987,,
Binyu Yang,CHN,4.361999999999966,,8.65399999999994
Elisa Dul,NED,,,28.68399999999997
Francesca Lollobrigida,ITA,7.031999999999982,-2.6000000000000227,-1.1160000000000423
Gemma Cooper,GBR,47.051999999999964,,
Giorgia Birkeland,USA,16.281999999999982,,
Greta Myers,USA,10.151999999999987,,12.683999999999969
Hana Noake,JPN,24.041999999999973,,
Hanna Svenni,NOR,,,43.24399999999997
Ingrid Håkegård Eichler,NOR,24.111999999999966,,
Isabelle Weidemann,CAN,0.34199999999998454,1.2899999999999636,1.4639999999999418
Ivanie Blondin,CAN,11.991999999999962,,20.013999999999953
Jeannine Rosner,AUT,16.861999999999966,,
Ji-Woo Park,KOR,18.081999999999994,,
Josephine Schlörb,GER,21.001999999999953,,17.773999999999944
Josie Hofmann,GER,10.871999999999957,11.079999999999984,5.903999999999996
Joy Beune,NED,2.061999999999955,,-6.426000000000045
Julia Nizan,FRA,26.93199999999996,,
Katerina Kainova,CZE,,,33.21399999999994
Kristina Shumekova,KAZ,,,24.44399999999996
Kyouko Nitta,JPN,20.23199999999997,,
Laura Hall,CAN,15.711999999999989,17.129999999999995,11.163999999999987
Laura Lorenzato,ITA,11.611999999999966,,32.51399999999995
Laurie Cayer,CAN,27.42199999999997,,
Lemi Williamson,JPN,,,27.833999999999946
Linda Rossi,ITA,8.381999999999948,,
Lucie Korvasova,CZE,26.71199999999999,,
Magdalena Czyszczoń,POL,21.151999999999987,,30.553999999999974
Maira Jasch,GER,3.3719999999999573,,11.94399999999996
Marija Degen,KAZ,,,45.95399999999995
Marijke Groenewoud,NED,0.47199999999998,5.529999999999973,17.913999999999987
Marina Zueva,BLR,3.6919999999999504,,
Marlen Ehseluns,GER,32.91199999999998,,
Marte Bjerkreim Furnée,NOR,27.77199999999999,,
Martina Sáblíková,CZE,6.19199999999995,4.21999999999997,-3.1760000000000446
Merel Conijn,NED,3.541999999999973,-0.4900000000000091,-4.746000000000038
Momoka Horikawa,JPN,17.951999999999998,11.199999999999989,20.263999999999953
Nadezhda Morozova,KAZ,13.021999999999991,,
Nadja Wenger,SUI,36.43199999999996,,29.053999999999974
Natascha Lindenskov,DEN,34.331999999999994,,
Nikola Zdráhalova,CZE,,,13.40399999999994
Ragne Wiklund,NOR,-0.7580000000000382,-2.420000000000016,4.453999999999951
Ramona Härdi,SUI,26.831999999999994,,29.073999999999955
Rose-Anne Grenier,CAN,,,16.293999999999983
Sandrine Tas,BEL,2.47199999999998,12.009999999999991,8.44399999999996
Sanne In 't Hof,NED,-2.118000000000052,,5.533999999999992
Valerie Maltais,CAN,16.92199999999997,,5.573999999999955
Violette Braun,FRA,7.291999999999973,,22.023999999999944
Wenjing Jin,CHN,27.551999999999964,,14.65399999999994
Yuna Onodera,JPN,,,28.173999999999978
Yuuka Takahashi,JPN,,,13.22399999999999
Zhien Tai,CHN,10.101999999999975,9.789999999999964,12.093999999999937
Zofia Braun,POL,19.861999999999966,,
Zuzana Kursova,CZE,37.97199999999998,,17.89399999999995
