Athlete,Country,02.02.2025,02.03.2025,07.12.2025,14.12.2025,15.03.2025,16.11.2025,23.02.2025,23.11.2025,26.01.2025
Adrian Octavian Fierar,ROU,,,,,,,,3.1060000000000514,
Albertus (Bart) Hoolwerf,NED,-1.5360000000000014,,-13.393999999999949,-6.147999999999968,-0.05000000000001137,3.173999999999978,-8.401999999999987,2.896000000000072,-4.892000000000053
Alexander Farthofer,AUT,,,21.956000000000074,18.07200000000006,,6.19399999999996,17.52800000000002,57.02600000000007,
Allan Dahl Johansson,NOR,5.924000000000035,,,,25.670000000000016,,9.258000000000038,,-3.0020000000000095
Andrea Giovannini,ITA,-2.4359999999999786,,-13.113999999999919,-8.147999999999968,-0.2799999999999727,3.283999999999992,-8.341999999999985,2.4360000000000355,-5.622000000000014
Andrey Zuyev,KAZ,,,,,,12.173999999999978,,41.34600000000006,
Antoine Gélinas-Beaulieu,CAN,,,1.0260000000000673,-1.7379999999999995,,-2.7660000000000196,,3.786000000000058,
Bagdaulet Sagatov,KAZ,,,,,,,,,39.18799999999999
Baoshuo Pan,CHN,7.494000000000028,,,,,,-5.571999999999946,,27.15799999999996
Bart Swings,BEL,-2.5260000000000105,,-13.273999999999944,-8.297999999999945,-0.060000000000002274,3.423999999999978,-8.161999999999978,2.786000000000058,-5.6720000000000255
Botond Bejczi,HUN,,,48.15600000000006,33.912000000000035,,25.813999999999965,48.78800000000007,2.6760000000000446,42.888000000000034
Cosmin Nedelea,ROU,,,,,,,,,29.50799999999998
Daniele Di Stefano,ITA,-2.0260000000000105,,14.486000000000047,29.152000000000044,0.8400000000000318,9.103999999999985,-6.651999999999987,,-5.701999999999998
Danila Semerikov,UZB,,,,31.562000000000012,,6.94399999999996,15.968000000000018,,
David Larue,CAN,-1.2959999999999923,,,,10.240000000000009,,-1.4219999999999686,,-4.652000000000044
Didrik Eng Strand,NOR,,,-8.66399999999993,19.762000000000057,,22.644000000000005,16.378000000000043,44.726000000000056,-2.0920000000000414
Ethan Cepuran,USA,0.21399999999999864,,-6.583999999999946,6.302000000000021,0.6200000000000045,5.743999999999971,-6.311999999999955,15.466000000000065,-5.362000000000023
