Athlete,Country,02.03.2025,14.12.2025
Aleksandr Klenko,KAZ,,3.765999999999991
Bjørn Magnussen,NOR,,-0.5240000000000009
Bálint Bödei,HUN,,1.5660000000000025
Gabriel Odor,AUT,,-0.45400000000000773
Hendrik Dombek,GER,15.45799999999997,
Hyeon-Min Oh,KOR,0.6479999999999677,
Ivanie Blondin,CAN,0.7379999999999711,
Kaitlyn McGregor,SUI,-1.752000000000038,
Lucie Korvasova,CZE,,10.206000000000017
Martyna Baran,POL,0.45799999999997,
Moritz Klein,GER,,0.6659999999999968
Natalia Jabrzyk,POL,,-0.5740000000000123
Nil Llop Izquierdo,ESP,-0.09200000000004138,
Tuukka Suomalainen,FIN,2.227999999999952,
Wenjing Jin,CHN,,0.8859999999999957
Xianghe Quan,CHN,22.807999999999964,
