Athlete,Country,02.02.2025,02.03.2025,14.03.2025,14.12.2025,16.11.2025,23.11.2025
Albertus (Bart) Hoolwerf,NED,-0.8019999999999641,,,,,
Andrea Giovannini,ITA,-1.431999999999988,-0.3640000000000043,1.157999999999987,1.4359999999999502,,1.565999999999974
Andrey Zuyev,KAZ,,,,11.905999999999949,12.847999999999956,13.055999999999983
Antoine Gélinas-Beaulieu,CAN,,,,1.325999999999965,,
Baoshuo Pan,CHN,,,5.087999999999965,,,
Bart Swings,BEL,1.8080000000000211,3.7060000000000173,5.0779999999999745,,13.227999999999952,
Beau Snellink,NED,-0.8019999999999641,-0.02400000000000091,1.8979999999999677,1.875999999999948,4.867999999999967,2.265999999999991
Botond Bejczi,HUN,,17.376000000000005,,17.40599999999995,15.427999999999969,11.935999999999979
Bálint Bödei,HUN,,17.376000000000005,,17.40599999999995,15.427999999999969,11.935999999999979
Casey Dawson,USA,-2.5319999999999823,-2.103999999999985,-0.7720000000000198,-0.884000000000043,-2.6720000000000255,-1.0440000000000111
Chris Huizinga,NED,-0.8019999999999641,-0.02400000000000091,1.8979999999999677,1.875999999999948,4.867999999999967,2.265999999999991
Connor Howe,CAN,3.6180000000000234,4.756,,,,
Daniel Hall,CAN,,,,1.325999999999965,,5.745999999999981
David Larue,CAN,,,,,,5.745999999999981
Davide Ghiotto,ITA,-1.431999999999988,-0.3640000000000043,1.157999999999987,1.4359999999999502,,1.565999999999974
Didrik Eng Strand,NOR,,2.4160000000000252,,6.9459999999999695,0.03799999999995407,
Emery Lehman,USA,-2.5319999999999823,-2.103999999999985,-0.7720000000000198,-0.884000000000043,-2.6720000000000255,-1.0440000000000111
Ethan Cepuran,USA,-2.5319999999999823,-2.103999999999985,-0.7720000000000198,-0.884000000000043,-2.6720000000000255,-1.0440000000000111
Felix Maly,GER,,3.7560000000000002,,3.4859999999999616,4.007999999999981,3.4459999999999695
Flavio Gross,SUI,5.858000000000004,9.006,,6.845999999999947,6.067999999999955,6.585999999999984
Fridtjof Petzold,GER,10.118000000000023,3.7560000000000002,,3.4859999999999616,4.007999999999981,3.4459999999999695
Germain Deschamps,FRA,1.6880000000000166,3.216000000000008,5.147999999999968,5.43599999999995,2.8079999999999643,1.6659999999999968
Hallgeir Engebråten,NOR,-0.9919999999999902,,,,,
Hanbin Liu,CHN,3.27800000000002,3.156000000000006,5.087999999999965,,1.4879999999999711,5.8559999999999945
Hojun Yang,KOR,,,,,5.747999999999962,4.835999999999984
Indra Medard,BEL,1.8080000000000211,3.7060000000000173,5.0779999999999745,,13.227999999999952,
Jaewon Chung,KOR,,,,,5.747999999999962,4.835999999999984
Jake Weidemann,CAN,3.6180000000000234,4.756,,1.325999999999965,,5.745999999999981
Jakub Koci,CZE,,,,15.125999999999948,17.277999999999963,
Jason Suttels,BEL,1.8080000000000211,3.7060000000000173,5.0779999999999745,,,
Jorrit Bergsma,NED,,-0.02400000000000091,,,,
Josh Whyte,NZL,16.368000000000023,,,,,
Kazuya Yamada,JPN,,,,4.835999999999956,3.737999999999971,5.045999999999992
Kierryn Hughes,NZL,16.368000000000023,14.736000000000018,,,,
Konrád Nagy,HUN,,17.376000000000005,,17.40599999999995,15.427999999999969,11.935999999999979
Livio Wenger,SUI,5.858000000000004,9.006,,6.845999999999947,6.067999999999955,6.585999999999984
Marcel Bosker,NED,,,1.8979999999999677,1.875999999999948,,2.265999999999991
Marcin Bachanek,POL,4.368000000000023,4.825999999999993,,,5.357999999999976,6.305999999999983
Mark McCormack,NZL,,14.736000000000018,,,,
Mateusz Śliwka,POL,,,,7.845999999999947,,
Mathias Vosté,BEL,,,,,13.227999999999952,
Mathieu Belloir,FRA,1.6880000000000166,,,,,
Metoděj Jílek,CZE,,,,15.125999999999948,17.277999999999963,
Michele Malfatti,ITA,-1.431999999999988,-0.3640000000000043,1.157999999999987,1.4359999999999502,,1.565999999999974
Motonaga Arito,JPN,,2.5560000000000116,4.777999999999963,4.835999999999956,3.737999999999971,5.045999999999992
Nuraly Akzhol,KAZ,,,,11.905999999999949,12.847999999999956,
Patrick Beckert,GER,10.118000000000023,3.7560000000000002,,3.4859999999999616,4.007999999999981,3.4459999999999695
Peder Kongshaug,NOR,-0.9919999999999902,,,,0.03799999999995407,26.775999999999982
Peter Michael,NZL,16.368000000000023,14.736000000000018,,,,
Philip Due Schmidt,DEN,9.04800000000003,12.216000000000008,,,,
Riku Tsuchiya,JPN,2.9280000000000257,2.5560000000000116,4.777999999999963,,,
Sander Eitrem,NOR,-0.9919999999999902,2.4160000000000252,,6.9459999999999695,0.03799999999995407,26.775999999999982
Seitaro Ichinohe,JPN,2.9280000000000257,,,,,
Seung-Min Jo,KOR,,,,,5.747999999999962,4.835999999999984
Shoumu Sasaki,JPN,2.9280000000000257,2.5560000000000116,4.777999999999963,4.835999999999956,3.737999999999971,5.045999999999992
Sigurd Henriksen,NOR,,2.4160000000000252,,6.9459999999999695,,26.775999999999982
Stefan Due Schmidt,DEN,9.04800000000003,12.216000000000008,,,,
Stefan Emele,GER,10.118000000000023,,,,,
Szymon Palka,POL,4.368000000000023,4.825999999999993,,7.845999999999947,5.357999999999976,6.305999999999983
Tadeáš Procházka,CZE,,,,15.125999999999948,17.277999999999963,
Ted-Jan Bloemen,CAN,3.6180000000000234,4.756,,,,
Thibault Métraux,SUI,5.858000000000004,9.006,,6.845999999999947,6.067999999999955,6.585999999999984
Timothy Loubineaud,FRA,1.6880000000000166,3.216000000000008,5.147999999999968,5.43599999999995,2.8079999999999643,1.6659999999999968
Tjerk de Boer,NED,,,,,4.867999999999967,
Vadim Yakubovskiy,KAZ,,,,,12.847999999999956,13.055999999999983
Valentin Thiebault,FRA,,3.216000000000008,5.147999999999968,5.43599999999995,2.8079999999999643,1.6659999999999968
Viktor Hald Thorup,DEN,9.04800000000003,12.216000000000008,,,,
Vitaliy Chshigolev,KAZ,,,,11.905999999999949,,13.055999999999983
Vladimir Semirunniy,POL,4.368000000000023,4.825999999999993,,7.845999999999947,5.357999999999976,6.305999999999983
Wenhao Li,CHN,,,,5.155999999999949,,
Yu Wu,CHN,3.27800000000002,3.156000000000006,5.087999999999965,5.155999999999949,1.4879999999999711,5.8559999999999945
Zhenlong Cong,CHN,3.27800000000002,,,,,
Zhongyan Ning,CHN,,3.156000000000006,,5.155999999999949,1.4879999999999711,5.8559999999999945
