Athlete,Country,07.12.2025,13.03.2025,23.02.2025,26.01.2025
Aleksandr Klenko,KAZ,4.614000000000004,,,
Anders Johnson,CAN,,1.61399999999999,1.3400000000000034,0.5460000000000065
Austin Kleba,USA,,0.9839999999999947,,-0.22399999999998954
Bin Liu,CHN,,,,5.456000000000003
Bjørn Magnussen,NOR,1.4239999999999924,1.0739999999999839,2.789999999999992,
Botond Bejczi,HUN,4.813999999999993,,5.069999999999993,
Bálint Bödei,HUN,4.813999999999993,,5.069999999999993,
Connor Howe,CAN,,1.61399999999999,1.3400000000000034,0.5460000000000065
Conor Mcdermott-Mostowy,USA,0.563999999999993,,-0.480000000000004,
Cooper Mcleod,USA,0.563999999999993,0.9839999999999947,-0.480000000000004,-0.22399999999998954
Damian Żurek,POL,,1.4339999999999975,,0.3760000000000048
Daniel Milagros,ESP,,,2.3400000000000034,
Didrik Eng Strand,NOR,,1.0739999999999839,,
Flavio Gross,SUI,4.054000000000002,,,
Haonan Du,CHN,,,,5.456000000000003
Hendrik Dombek,GER,,2.1739999999999924,,2.5660000000000025
Henrik Fagerli Rukke,NOR,1.4239999999999924,1.0739999999999839,2.789999999999992,
Hyeon-Min Oh,KOR,2.813999999999993,,,
Janno Botman,NED,,0.17399999999999238,,
Jenning de Boo,NED,-0.3760000000000048,0.17399999999999238,,0.3359999999999985
Jhoan Sebastian Guzman Bitar,ESP,,,2.3400000000000034,
Joon-Ho Kim,KOR,,1.7939999999999827,0.7199999999999989,1.6159999999999997
Juuso Lehtonen,FIN,6.573999999999998,,,
Kacper Abratkiewicz,POL,2.4339999999999975,,,
Konrád Nagy,HUN,4.813999999999993,,,
Kyungmin Koo,KOR,2.813999999999993,,,
Laurent Dubreuil,CAN,,1.61399999999999,1.3400000000000034,0.5460000000000065
Livio Wenger,SUI,4.054000000000002,,,
Lukács Soma,HUN,,,5.069999999999993,
Marek Kania,POL,2.4339999999999975,1.4339999999999975,,0.3760000000000048
Max Kokko,FIN,6.573999999999998,,,
Min Kyu Cha,KOR,,1.7939999999999827,0.7199999999999989,1.6159999999999997
Moritz Klein,GER,,2.1739999999999924,,2.5660000000000025
Nikita Vazhenin,KAZ,4.614000000000004,,,
Nil Llop Izquierdo,ESP,,,2.3400000000000034,
Nuraly Akzhol,KAZ,4.614000000000004,,,
Oliver Grob,SUI,4.054000000000002,,,
Piotr Michalski,POL,,1.4339999999999975,,0.3760000000000048
Pål Myhren Kristensen,NOR,,,2.789999999999992,
Sanghyeok Cho,KOR,2.813999999999993,1.7939999999999827,0.7199999999999989,1.6159999999999997
Siver Brattgjerd,NOR,1.4239999999999924,,,
Stefan Emele,GER,,2.1739999999999924,,2.5660000000000025
Stefan Westenbroek,NED,-0.3760000000000048,,,0.3359999999999985
Szymon Wojtakowski,POL,2.4339999999999975,,,
Tianlong Li,CHN,4.193999999999988,,,
Tim Prins,NED,-0.3760000000000048,0.17399999999999238,,0.3359999999999985
Tuukka Suomalainen,FIN,6.573999999999998,,,
Wenhao Li,CHN,4.193999999999988,,,
Zach Stoppelmoor,USA,0.563999999999993,0.9839999999999947,-0.480000000000004,-0.22399999999998954
Zhihan Deng,CHN,4.193999999999988,,0.7999999999999972,
Zhiwen Xue,CHN,,-0.11600000000001387,0.7999999999999972,
Zhongyan Ning,CHN,,-0.11600000000001387,,
Ziwen Lian,CHN,,-0.11600000000001387,0.7999999999999972,5.456000000000003
