Athlete,Country,07.12.2025,13.03.2025,23.02.2025,26.01.2025
Andżelika Wójcik,POL,,1.5659999999999883,-0.09200000000001296,0.671999999999997
Angel Daleman,NED,,-0.6640000000000157,,
Anna Boersma,NED,-0.347999999999999,,,
Anna Ostlender,GER,,,1.6479999999999961,2.2819999999999965
Aurora Grinden Løvås,NOR,,4.3559999999999945,4.617999999999995,3.971999999999994
Brooklyn McDougall,CAN,0.5219999999999914,0.9959999999999951,,
Béatrice Lamarche,CAN,0.5219999999999914,0.9959999999999951,0.13799999999999102,-0.4479999999999933
Carina Jagtøyen,NOR,,4.3559999999999945,4.617999999999995,3.971999999999994
Carolina Hiller-Donnelly,CAN,,,0.13799999999999102,-0.4479999999999933
Chrysta Rands-Evans,USA,4.291999999999987,,4.027999999999992,
Darja Vazhenina,KAZ,,2.5459999999999923,2.8279999999999887,1.0120000000000005
Dione Voskamp,NED,,,0.2980000000000018,
Femke Kok,NED,-0.347999999999999,,,
Ivanie Blondin,CAN,0.5219999999999914,0.9959999999999951,0.13799999999999102,-0.4479999999999933
Jingziqian Wang,CHN,,4.175999999999988,8.238,
Julie Nistad Samsonsen,NOR,,4.3559999999999945,4.617999999999995,3.971999999999994
Jutta Leerdam,NED,,-0.6640000000000157,,
Kaja Ziomek-Nogal,POL,1.1219999999999999,1.5659999999999883,-0.09200000000001296,0.671999999999997
Karolina Bosiek,POL,1.1219999999999999,1.5659999999999883,-0.09200000000001296,0.671999999999997
Kristina Silaeva,KAZ,,2.5459999999999923,2.8279999999999887,1.0120000000000005
Lea Sophie Scholz,GER,,,1.6479999999999961,
Marlen Ehseluns,GER,,,,2.2819999999999965
Marrit Fledderus,NED,-0.347999999999999,,,
Martyna Baran,POL,1.1219999999999999,,,
McKenzie Browne,USA,4.291999999999987,,4.027999999999992,
Nadezhda Morozova,KAZ,,2.5459999999999923,2.8279999999999887,1.0120000000000005
Naomi Verkerk,NED,,,0.2980000000000018,
Qi Yin,CHN,,4.175999999999988,,
Ruining Tian,CHN,,4.175999999999988,8.238,
Sarah Warren,USA,4.291999999999987,,4.027999999999992,
Shihui Yu,CHN,,,8.238,
Sophie Warmuth,GER,,,1.6479999999999961,2.2819999999999965
Suzanne Schulting,NED,,-0.6640000000000157,0.2980000000000018,
