Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Stijn van de Bunt,NED,1,2.5779999999999514,0.4962040144018255,12.23799999999992,Synthetic,2.279382772640804
Davide Ghiotto,ITA,3,5.045333333333299,2.033383888193385,12.23799999999992,Actual,0.6383546356985476
Metoděj Jílek,CZE,3,9.631999999999925,0.37571834364491347,12.23799999999992,Actual,8.975590729855288
Vladimir Semirunniy,POL,3,12.651999999999907,0.7665073222610691,12.23799999999992,Actual,9.431437913581455
Sander Eitrem,NOR,3,15.545333333333302,0.149436318063042,12.23799999999992,Actual,15.372725685011321
Wisse Slendebroek,NED,1,17.597999999999935,0.4962040144018255,12.23799999999992,Synthetic,15.559572549625093
Jorrit Bergsma,NED,4,17.91349999999995,0.2469343534497346,12.23799999999992,Actual,17.37558971098889
Timothy Loubineaud,FRA,3,18.81199999999995,0.2991235263979518,12.23799999999992,Actual,17.988947149832537
Kars Jansman,NED,2,22.524999999999956,0.4962040144018255,12.23799999999992,Synthetic,19.915863829998056
Casey Dawson,USA,3,23.508666666666596,0.12150966946179216,12.23799999999992,Actual,23.3357576577539
Bart Swings,BEL,2,24.355999999999973,0.4962040144018255,12.23799999999992,Synthetic,21.53477378217239
Chris Huizinga,NED,4,24.98599999999994,0.28250819273612526,12.23799999999992,Actual,24.00855508074122
Ted-Jan Bloemen,CAN,3,26.79199999999997,0.28117430561535084,12.23799999999992,Actual,25.753584992343804
Remco Stam,NED,1,27.787999999999876,0.4962040144018255,12.23799999999992,Synthetic,24.569235254516517
Riccardo Lorello,ITA,2,28.275999999999932,0.4962040144018255,12.23799999999992,Synthetic,25.000708797204208
Graeme Fish,CAN,3,28.331999999999933,0.419916827904955,12.23799999999992,Actual,25.94105468540012
Manuel Ghiotto,ITA,1,30.23199999999995,0.4962040144018255,12.23799999999992,Synthetic,26.730139636337466
Sigurd Henriksen,NOR,2,30.355999999999973,0.4962040144018255,12.23799999999992,Synthetic,26.839776356200737
Beau Snellink,NED,3,30.573333333333284,0.49190462565750787,12.23799999999992,Actual,27.08941575228705
Daan Gelling,NED,1,30.95799999999995,0.4962040144018255,12.23799999999992,Synthetic,27.372044947794887
Felix Maly,GER,3,31.035333333333273,0.37131020354331173,12.23799999999992,Actual,28.967969128200043
Andrea Giovannini,ITA,2,33.540999999999976,0.4962040144018255,12.23799999999992,Synthetic,29.655848555914126
Marcel Bosker,NED,3,33.70333333333331,0.6112246102945919,12.23799999999992,Actual,27.960672864229597
Hanbin Liu,CHN,1,33.7099999999999,0.4962040144018255,12.23799999999992,Synthetic,29.805272795082523
Michele Malfatti,ITA,2,34.41099999999998,0.4962040144018255,12.23799999999992,Synthetic,30.42507392914823
Fridtjof Petzold,GER,2,35.865999999999964,0.4962040144018255,12.23799999999992,Synthetic,31.71153705335009
Yu Wu,CHN,2,38.20599999999994,0.4962040144018255,12.23799999999992,Synthetic,33.780488057221135
Patrick Beckert,GER,2,38.67599999999996,0.4962040144018255,12.23799999999992,Synthetic,34.196046592186704
Jasper Krommenhoek,NED,1,38.74799999999991,0.4962040144018255,12.23799999999992,Synthetic,34.259706623075004
Gabriel Groß,GER,1,38.762000000000036,0.4962040144018255,12.23799999999992,Synthetic,34.27208496241451
Seung-Hoon Lee,KOR,1,39.2099999999999,0.4962040144018255,12.23799999999992,Synthetic,34.66819182127517
Viktor Hald Thorup,DEN,2,39.93099999999996,0.4962040144018255,12.23799999999992,Synthetic,35.3056762972543
Zhenlong Cong,CHN,2,43.49599999999996,0.4962040144018255,12.23799999999992,Synthetic,38.45773199332281
Kristian Gamme Ulekleiv,NOR,1,43.49999999999998,0.4962040144018255,12.23799999999992,Synthetic,38.46126866170551
Tjerk de Boer,NED,1,45.267999999999894,0.4962040144018255,12.23799999999992,Synthetic,40.02447608685246
Taiyo Morino,JPN,2,45.581,0.4962040144018255,12.23799999999992,Synthetic,40.30122038779769
Thibault Métraux,SUI,2,45.59099999999999,0.4962040144018255,12.23799999999992,Synthetic,40.3100620587544
Riku Tsuchiya,JPN,2,45.675999999999966,0.4962040144018255,12.23799999999992,Synthetic,40.38521626188645
Ethan Cepuran,USA,2,48.41099999999999,0.4962040144018255,12.23799999999992,Synthetic,42.803413268547715
Marwin Talsma,NED,2,48.453999999999986,0.4962040144018255,12.23799999999992,Synthetic,42.84143245366159
Jason Suttels,BEL,2,48.561999999999934,0.4962040144018255,12.23799999999992,Synthetic,42.93692249999406
Alexander Farthofer,AUT,1,49.24199999999994,0.4962040144018255,12.23799999999992,Synthetic,43.5381561250506
Jaewon Chung,KOR,1,50.74199999999994,0.4962040144018255,12.23799999999992,Synthetic,44.864406768557686
Livio Wenger,SUI,1,50.82999999999991,0.4962040144018255,12.23799999999992,Synthetic,44.94221347297675
Daniil Naidenyshev,RUS,1,52.22199999999996,0.4962040144018255,12.23799999999992,Synthetic,46.17297407015137
Szymon Palka,POL,1,52.31199999999999,0.4962040144018255,12.23799999999992,Synthetic,46.25254910876182
Motonaga Arito,JPN,1,54.16200000000001,0.4962040144018255,12.23799999999992,Synthetic,47.888258235753916
Wenhao Li,CHN,1,55.03200000000002,0.4962040144018255,12.23799999999992,Synthetic,48.657483608988045
Seung-Min Jo,KOR,1,56.121999999999936,0.4962040144018255,12.23799999999992,Synthetic,49.62122574326979
Seitaro Ichinohe,JPN,1,59.94999999999991,0.4962040144018255,12.23799999999992,Synthetic,53.00581738549985
Hallgeir Engebråten,NOR,1,60.16999999999994,0.4962040144018255,12.23799999999992,Synthetic,53.20033414654756
Vitaliy Chshigolev,KAZ,1,60.2099999999999,0.4962040144018255,12.23799999999992,Synthetic,53.23570083037437
Sigurd Holbø Dyrset,NOR,1,60.88200000000004,0.4962040144018255,12.23799999999992,Synthetic,53.82986111866572
Mateusz Śliwka,POL,1,61.371999999999936,0.4962040144018255,12.23799999999992,Synthetic,54.263102995544564
Peter Michael,NZL,2,61.615999999999964,0.4962040144018255,12.23799999999992,Synthetic,54.47883976688843
Giovanni Trebouta,FRA,2,64.77599999999998,0.4962040144018255,12.23799999999992,Synthetic,57.272807789210034
Oddbjørn Mellemstrand,NOR,1,64.85199999999995,0.4962040144018255,12.23799999999992,Synthetic,57.340004488481
Shoumu Sasaki,JPN,2,65.81599999999995,0.4962040144018255,12.23799999999992,Synthetic,58.19234156870824
Daniel Hall,CAN,2,66.74599999999995,0.4962040144018255,12.23799999999992,Synthetic,59.014616967682635
Kelin Dunfee,USA,1,67.40200000000002,0.4962040144018255,12.23799999999992,Synthetic,59.5946305824431
Lukas Stekly,SVK,2,68.04599999999996,0.4962040144018255,12.23799999999992,Synthetic,60.16403419205543
Severin Widmer,SUI,1,68.52200000000002,0.4962040144018255,12.23799999999992,Synthetic,60.58489772959509
Nichika Endo,JPN,1,74.77999999999994,0.4962040144018255,12.23799999999992,Synthetic,66.11801541430656
Miguel Bravo,POR,1,76.95199999999997,0.4962040144018255,12.23799999999992,Synthetic,68.03842634610487
Jonathan Tobon,USA,1,80.23999999999998,0.4962040144018255,12.23799999999992,Synthetic,70.94556775667243
Alemasi Kahanbai,CHN,1,83.77999999999994,0.4962040144018255,12.23799999999992,Synthetic,74.07551927534908
Andrey Zuyev,KAZ,1,85.81199999999998,0.4962040144018255,12.23799999999992,Synthetic,75.87214681375343
Philip Due Schmidt,DEN,1,86.40200000000002,0.4962040144018255,12.23799999999992,Synthetic,76.39380540019955
Daan van der Elst,BEL,1,92.90200000000002,0.4962040144018255,12.23799999999992,Synthetic,82.14089152206357
