Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Jordan Stolz,USA,8,0.6837500000000039,0.7717852742561235,1.4640000000000044,Actual,0.5076367328470542
Jenning de Boo,NED,9,1.0924444444444463,0.3301608063089396,1.4640000000000044,Actual,1.034496376890206
Tim Prins,NED,7,1.5500000000000007,0.2094137936537566,1.4640000000000044,Actual,1.5163829524008245
Kjeld Nuis,NED,8,1.5815000000000023,0.17068162530776243,1.4640000000000044,Actual,1.5586306622145212
Cooper Mcleod,USA,8,1.7037500000000017,0.28929565238495614,1.4640000000000044,Actual,1.6339260147210055
Joep Wennemars,NED,9,1.7164444444444478,0.28505174303537206,1.4640000000000044,Actual,1.6481075984643094
Damian Żurek,POL,9,1.7317777777777819,0.236400505238388,1.4640000000000044,Actual,1.6840572280522643
Zhongyan Ning,CHN,8,1.9330000000000038,0.35072260739417843,1.4640000000000044,Actual,1.8176964753387816
Finn Sonnekalb,GER,6,1.9823333333333375,0.28406422439845824,1.4640000000000044,Actual,1.903945591874663
Marten Liiv,EST,9,2.029555555555559,0.21724669276179792,1.4640000000000044,Actual,1.9822226550596322
Ryota Kojima,JPN,7,2.087714285714288,0.09489050343189034,1.4640000000000044,Actual,2.07833630541249
Serge Yoro,NED,3,2.195333333333334,0.1861317089971212,1.4640000000000044,Actual,2.1576321396236886
Marek Kania,POL,8,2.2112500000000037,0.08750005615985464,1.4640000000000044,Actual,2.2028012295409227
Merijn Scheperkamp,NED,2,2.222,0.1587361358779883,1.4640000000000044,Synthetic,2.194181558702963
Ziwen Lian,CHN,8,2.2532500000000018,0.1838145027333359,1.4640000000000044,Actual,2.21550359152653
Laurent Dubreuil,CAN,7,2.3271428571428596,0.3000997802828224,1.4640000000000044,Actual,2.2246761055795528
Kayo Vos,NED,1,2.3479999999999905,0.1587361358779883,1.4640000000000044,Synthetic,2.318604095335075
Taiyo Nonomura,JPN,7,2.39914285714286,0.06302029996173883,1.4640000000000044,Actual,2.394383416553347
Hendrik Dombek,GER,8,2.4062500000000058,0.07300160025446308,1.4640000000000044,Actual,2.3998468006022917
Mathias Vosté,BEL,9,2.455111111111113,0.22908111484553065,1.4640000000000044,Actual,2.3915290726929483
Conor Mcdermott-Mostowy,USA,8,2.480750000000003,0.20348099516984347,1.4640000000000044,Actual,2.4299208288816643
Min-Seok Kim,HUN,8,2.631250000000003,0.17356675867945395,1.4640000000000044,Actual,2.5919132474691455
Piotr Michalski,POL,9,2.655111111111112,0.2313145320339168,1.4640000000000044,Actual,2.5850201352952586
Connor Howe,CAN,6,2.711000000000004,0.30415057451351785,1.4640000000000044,Actual,2.588461760807491
Moritz Klein,GER,9,2.71955555555556,0.1349842805936681,1.4640000000000044,Actual,2.6948918946672276
Tijmen Snel,NED,5,2.7555999999999985,0.12254278512192286,1.4640000000000044,Actual,2.73498742387052
Kazuya Yamada,JPN,7,2.794857142857146,0.14603675833144564,1.4640000000000044,Actual,2.765212889016709
Sanghyeok Cho,KOR,4,2.8044999999999995,0.1215681413390836,1.4640000000000044,Actual,2.7838527887555617
Szymon Wojtakowski,POL,4,2.851500000000011,0.15021251543475453,1.4640000000000044,Actual,2.8195104531823842
Louis Hollaar,NED,1,2.907999999999993,0.1587361358779883,1.4640000000000044,Synthetic,2.8715931470333937
Wesly Dijs,NED,3,2.915333333333328,0.12230826565705977,1.4640000000000044,Actual,2.893608989685067
Katsuhiro Kuratsubo,JPN,1,2.9539999999999993,0.1587361358779883,1.4640000000000044,Synthetic,2.9170172477086185
Stefan Emele,GER,6,2.9673333333333347,0.15651899376990447,1.4640000000000044,Actual,2.9312078811940094
David Larue,CAN,6,2.970999999999998,0.11764359588643246,1.4640000000000044,Actual,2.9505116283530572
Zach Stoppelmoor,USA,8,2.971249999999998,0.14981655014545106,1.4640000000000044,Actual,2.938091557121392
Anders Johnson,CAN,7,2.977714285714285,0.05550098192997354,1.4640000000000044,Actual,2.9731316012059943
Nil Llop Izquierdo,ESP,8,2.999500000000002,0.1213118655379159,1.4640000000000044,Actual,2.977509830243043
Mats Siemons,NED,1,3.007999999999987,0.1587361358779883,1.4640000000000044,Synthetic,2.9703411919795157
Peder Kongshaug,NOR,1,3.0199999999999876,0.1587361358779883,1.4640000000000044,Synthetic,2.982190957373051
Tatsuya Shinhama,JPN,6,3.032666666666667,0.24429284683467634,1.4640000000000044,Actual,2.9435102242244704
Hyeon-Joon.06 Ahn,KOR,1,3.0420000000000074,0.1587361358779883,1.4640000000000044,Synthetic,3.0039155272612192
Mateusz Śliwka,POL,1,3.065999999999994,0.1587361358779883,1.4640000000000044,Synthetic,3.0276150580482772
Bjørn Magnussen,NOR,9,3.0895555555555596,0.09649700415876585,1.4640000000000044,Actual,3.0752045258105003
Daniele Di Stefano,ITA,8,3.1382499999999998,0.09176908294894776,1.4640000000000044,Actual,3.1250632951259023
Gabriel Odor,AUT,8,3.2207500000000024,0.20940387222820503,1.4640000000000044,Actual,3.1509035747696426
David Bosa,ITA,6,3.270666666666672,0.27357183342169117,1.4640000000000044,Actual,3.150537470087498
Yankun Zhao,CAN,5,3.277200000000002,0.054910164703662785,1.4640000000000044,Actual,3.272263136480341
Emery Lehman,USA,1,3.2920000000000074,0.1587361358779883,1.4640000000000044,Synthetic,3.250785639626539
Kai Verbij,NED,4,3.3295000000000017,0.06707230530673128,1.4640000000000044,Actual,3.3220192155262778
