Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Joy Beune,NED,5,2.318799999999987,0.4314915070447832,4.329999999999989,Actual,2.112680140361565
Ragne Wiklund,NOR,7,2.507428571428556,1.246322483657154,4.329999999999989,Actual,1.1532659661499363
Merel Conijn,NED,4,4.467499999999978,0.7646723399790095,4.329999999999989,Actual,3.334981307108477
Francesca Lollobrigida,ITA,7,4.618857142857128,0.7054517743331039,4.329999999999989,Actual,3.601376739022016
Isabelle Weidemann,CAN,7,5.395999999999988,0.299888705156111,4.329999999999989,Actual,5.158734619316839
Martina Sáblíková,CZE,7,5.780285714285698,0.31389738117751975,4.329999999999989,Actual,5.502416338570133
Valerie Maltais,CAN,7,5.780285714285698,0.22980676954025608,4.329999999999989,Actual,5.629651486679228
Nadezhda Morozova,KAZ,3,5.810666666666658,0.06426856788879026,4.329999999999989,Actual,5.798678719194448
Marijke Groenewoud,NED,7,6.158857142857132,0.5626186211856637,4.329999999999989,Actual,5.257319915459096
Sanne In 't Hof,NED,6,7.307666666666659,0.16891321804722143,4.329999999999989,Actual,7.204156763855397
Ksenija Korzhova,RUS,3,7.677333333333323,0.1958422937982531,4.329999999999989,Actual,7.531507060490455
Nikola Zdráhalova,CZE,6,7.82399999999999,0.2126378433492716,4.329999999999989,Actual,7.6491039214019
Marina Zueva,BLR,3,8.390666666666661,0.14662406721914198,4.329999999999989,Actual,8.30095583032831
Elizaveta Golubeva,KAZ,2,8.402000000000006,0.23293163625164143,4.329999999999989,Synthetic,8.177129720825434
Binyu Yang,CHN,7,8.594571428571415,0.26966305143887437,4.329999999999989,Actual,8.287693420464375
Ivanie Blondin,CAN,7,8.645999999999981,0.13749501836787983,4.329999999999989,Actual,8.564659243383264
Miho Takagi,JPN,2,8.75700000000001,0.23293163625164143,4.329999999999989,Synthetic,8.52262853668988
Bente Kerkhoff,NED,3,8.823999999999998,0.18993152455354625,4.329999999999989,Actual,8.666268360917522
Momoka Horikawa,JPN,7,8.975999999999994,0.2841025116297054,4.329999999999989,Actual,8.620966748827453
Linda Rossi,ITA,3,9.260666666666665,0.09022753063711632,4.329999999999989,Actual,9.223047705270675
Jeannine Rosner,AUT,5,9.642799999999994,0.2929959326483623,4.329999999999989,Actual,9.237656376782354
Mei Han,CHN,4,9.850499999999995,0.14058304773775135,4.329999999999989,Actual,9.753638731927802
