Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Seung-Hoon Lee,KOR,3,9.469333333333298,0.3808311944038396,14.473999999999968,Actual,8.806959909163735
Andrea Giovannini,ITA,8,10.446249999999992,0.786749656340704,14.473999999999968,Actual,7.665697846724416
Bart Swings,BEL,8,10.501249999999985,0.8268666416601017,14.473999999999968,Actual,7.460631604779529
Albertus (Bart) Hoolwerf,NED,8,10.929999999999978,0.8576027379070444,14.473999999999968,Actual,7.56679861789569
Livio Wenger,SUI,8,12.248749999999987,0.8314979117038664,14.473999999999968,Actual,8.668792453598815
Yuhaochen Li,CHN,4,13.811,1.0292650811817756,14.473999999999968,Actual,8.13171682152673
Jorrit Bergsma,NED,8,14.118749999999977,1.7104527173749076,14.473999999999968,Actual,3.2696385775142294
Fridtjof Petzold,GER,8,14.471249999999984,0.6665796312316488,14.473999999999968,Actual,11.58834347624054
Jhoan Sebastian Guzman Bitar,ESP,1,14.473999999999968,0.47857866078218897,14.473999999999968,Synthetic,12.907843749298266
Antoine Gélinas-Beaulieu,CAN,4,14.550999999999995,0.17294517808904017,14.473999999999968,Actual,14.335008645880949
Jaewon Chung,KOR,7,14.894571428571412,1.1360377595122646,14.473999999999968,Actual,7.812350800889645
David Larue,CAN,4,15.19149999999997,0.3374337951200601,14.473999999999968,Actual,14.350794088679985
Felix Maly,GER,6,15.502999999999991,0.19264978366569263,14.473999999999968,Actual,15.217964180776223
Ethan Cepuran,USA,8,15.734999999999985,0.4582253264866082,14.473999999999968,Actual,14.166815677227735
Timothy Loubineaud,FRA,8,15.84999999999998,0.5753701358904266,14.473999999999968,Actual,13.432056198406958
Mathieu Belloir,FRA,6,16.326833333333308,0.3324510387680745,14.473999999999968,Actual,15.449059449923773
Shoumu Sasaki,JPN,8,16.471249999999984,0.45738081729772173,14.473999999999968,Actual,14.835423947611597
Indra Medard,BEL,8,17.346249999999976,0.916493889944405,14.473999999999968,Actual,11.397520361024037
Adrian Octavian Fierar,ROU,1,17.58000000000002,0.47857866078218897,14.473999999999968,Synthetic,15.677759645755444
Jake Weidemann,CAN,7,20.043714285714277,0.45445108432302117,14.473999999999968,Actual,18.077222287497957
Daniele Di Stefano,ITA,7,20.074285714285697,0.5888235284042368,14.473999999999968,Actual,16.87921704565986
Viktor Hald Thorup,DEN,8,21.04624999999998,0.5430771859960157,14.473999999999968,Actual,18.1606285074475
Metoděj Jílek,CZE,7,22.39457142857142,0.5225498252847587,14.473999999999968,Actual,19.5365959592737
Yahor Damaratski,BLR,3,23.131333333333306,0.07783885128731025,14.473999999999968,Actual,23.06136430569939
Wei-Lin Tai,TPE,1,23.817999999999962,0.47857866078218897,14.473999999999968,Synthetic,21.240778113913656
Allan Dahl Johansson,NOR,4,23.936499999999988,0.44624516293225464,14.473999999999968,Actual,21.66801300287226
Baoshuo Pan,CHN,3,24.167333333333318,0.6328283875290845,14.473999999999968,Actual,19.78187224172737
Jordan Stolz,USA,4,24.66599999999999,0.8512934835873491,14.473999999999968,Actual,17.168485752363377
Gabriel Odor,AUT,8,25.122499999999988,0.6518633383506763,14.473999999999968,Actual,20.313810054441472
Sigurd Holbø Dyrset,NOR,4,25.336000000000006,0.42111170511206275,14.473999999999968,Actual,23.186234803421247
Motonaga Arito,JPN,2,25.47999999999997,0.47857866078218897,14.473999999999968,Synthetic,22.722941739126718
