Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Wenjing Jin,CHN,5,40.25080000000006,1.0510983894442145,54.798000000000094,Actual,23.166933163510087
Mia Manganello,USA,9,42.26133333333343,1.723982797576782,54.798000000000094,Actual,9.562165510412964
Marijke Groenewoud,NED,9,43.05466666666676,1.94720889273396,54.798000000000094,Actual,6.466657695534123
Elisa Dul,NED,4,43.08900000000008,0.8772520229283142,54.798000000000094,Actual,29.32622562622617
Ji-Woo Park,KOR,7,44.332857142857264,1.4507539685354072,54.798000000000094,Actual,15.477425759803765
Michelle Uhrig,GER,5,44.61480000000007,1.102456493423699,54.798000000000094,Actual,24.29718457684146
Ivanie Blondin,CAN,9,44.88244444444455,1.8996281626991658,54.798000000000094,Actual,7.387232318565833
Valerie Maltais,CAN,8,44.896750000000104,1.3336595849523034,54.798000000000094,Actual,18.449577394690223
Greta Myers,USA,9,44.920222222222314,0.7364884706226875,54.798000000000094,Actual,34.24979034050283
Binyu Yang,CHN,9,46.029111111111206,1.299905620808572,54.798000000000094,Actual,19.774569333009087
Francesca Lollobrigida,ITA,9,46.65244444444454,1.7424668439660949,54.798000000000094,Actual,10.222896652653995
Kaitlyn McGregor,SUI,9,48.529111111111234,0.7032521890673563,54.798000000000094,Actual,37.897381737512475
Aurora Grinden Løvås,NOR,7,48.69800000000009,0.9847276419135346,54.798000000000094,Actual,29.987891907498934
Ayano Sato,JPN,9,49.07688888888899,1.3648287381528412,54.798000000000094,Actual,19.33678976829715
Ramona Härdi,SUI,9,49.34022222222231,0.5572445914074156,54.798000000000094,Actual,42.244697698215646
Bente Kerkhoff,NED,4,49.70200000000013,0.04570106737083868,54.798000000000094,Actual,49.650123602389684
Jundan Hou,CHN,4,51.91200000000013,0.11450510510051504,54.798000000000094,Actual,51.572793091827016
Momoka Horikawa,JPN,7,53.82200000000011,0.08648303949007938,54.798000000000094,Actual,53.62110000668224
Leewon Lim,KOR,4,54.42825000000012,0.14072205112930322,54.798000000000094,Actual,53.891996163510626
Josephine Schlörb,GER,4,58.142000000000124,0.10986369106035924,54.798000000000094,Actual,57.792168820078665
Fran Vanhoutte,BEL,9,58.479111111111216,0.27682650402917064,54.798000000000094,Actual,56.28078379084247
Zuzana Kursova,CZE,8,58.5697500000001,0.8847501471300865,54.798000000000094,Actual,39.59991375176925
Anastasija Semjonova,RUS,4,59.32450000000013,0.05080175558780464,54.798000000000094,Actual,59.247996491311824
Elizaveta Golubeva,KAZ,4,60.30200000000011,0.14056787980377008,54.798000000000094,Actual,59.70916978024578
Josie Hofmann,GER,9,62.87800000000009,0.26069073725570396,54.798000000000094,Actual,60.777308919637065
Sandrine Tas,BEL,8,64.7842500000001,0.16727420869127424,54.798000000000094,Actual,63.88420756067834
Violette Braun,FRA,7,64.84942857142867,0.2932247612686531,54.798000000000094,Actual,62.12060384595433
Jeannine Rosner,AUT,5,65.01560000000009,0.19991528027308766,54.798000000000094,Actual,63.72928445190714
Sofia Thorup,DEN,1,65.66200000000012,0.5747592372439506,54.798000000000094,Synthetic,55.664704863584774
Natalia Jabrzyk,POL,9,66.1191111111112,0.2886428728109881,54.798000000000094,Actual,63.42134490952062
Yoon-Jee Kim,KOR,1,66.4900000000001,0.5747592372439506,54.798000000000094,Synthetic,56.36663864000107
Linda Rossi,ITA,4,67.77950000000014,0.04792105925093284,54.798000000000094,Actual,67.70171929489862
Alice Marletti,ITA,5,68.03680000000006,0.34305408586867014,54.798000000000094,Actual,64.1488190918844
Jéssica Carolina Santos Rodrigues,POR,4,69.4970000000001,0.12769912857731666,54.798000000000094,Actual,68.93265768558513
Marte Bjerkreim Furnée,NOR,2,70.91200000000012,0.5747592372439506,54.798000000000094,Synthetic,60.11537192419549
Julia Nizan,FRA,4,73.9445000000001,0.12474577638104933,54.798000000000094,Actual,73.3713885202199
Marina Zueva,BLR,4,76.02950000000013,0.22014036377376311,54.798000000000094,Actual,74.2093781973132
Arina Ilyachshenko,KAZ,1,77.5760000000001,0.5747592372439506,54.798000000000094,Synthetic,65.7647519797973
Anna Molnar,AUT,7,81.55942857142868,0.1656218774321717,54.798000000000094,Actual,80.44845238743073
Olga Piotrowska,POL,6,82.33433333333345,0.17761154274894414,54.798000000000094,Actual,81.045867803071
Abigél Mercs,HUN,4,82.37450000000013,0.11917233801649812,54.798000000000094,Actual,81.79162871524774
Hanna Svenni,NOR,3,82.94066666666673,0.23549972553053058,54.798000000000094,Actual,80.67231311744098
Lucie Korvasova,CZE,5,84.51960000000011,0.20440911929488523,54.798000000000094,Actual,82.77217184759344
Gemma Cooper,GBR,4,84.6245000000001,0.16922872920184653,54.798000000000094,Actual,83.42138083207743
Melissa Wijfje,NED,1,85.13800000000012,0.5747592372439506,54.798000000000094,Synthetic,72.17540803929032
Natascha Lindenskov,DEN,5,86.40720000000007,0.20812431597626777,54.798000000000094,Actual,84.5559241928387
Sara Cabrera,ESP,5,93.64200000000012,0.16173639295906989,54.798000000000094,Actual,92.42520015229115
Katerina Kainova,CZE,2,95.51900000000009,0.5747592372439506,54.798000000000094,Synthetic,80.97586037380451
Yuuka Takahashi,JPN,1,103.0380000000001,0.5747592372439506,54.798000000000094,Synthetic,87.3500633507058
