Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Wesly Dijs,NED,2,0.13600000000002987,0.2,1.770000000000016,Synthetic,0.13330701956974805
Anna Ostlender,GER,1,0.4599999999999853,0.2,1.770000000000016,Synthetic,0.45089138972109305
Bálint Bödei,HUN,1,1.4799999999999955,0.2,1.770000000000016,Synthetic,1.4506940364939935
Bjørn Magnussen,NOR,1,1.6220000000000483,0.2,1.770000000000016,Synthetic,1.5898822481036043
Ivanie Blondin,CAN,1,1.6220000000000483,0.2,1.770000000000016,Synthetic,1.5898822481036043
Hendrik Dombek,GER,1,2.1720000000000597,0.2,1.770000000000016,Synthetic,2.128991518422331
Alexander Farthofer,AUT,1,3.2399999999999864,0.2,1.770000000000016,Synthetic,3.175843701513874
Sarah Warren,USA,1,3.262000000000063,0.2,1.770000000000016,Synthetic,3.1974080723266978
Nil Llop Izquierdo,ESP,1,3.262000000000063,0.2,1.770000000000016,Synthetic,3.1974080723266978
Wenjing Jin,CHN,1,3.569999999999999,0.2,1.770000000000016,Synthetic,3.4993092637051153
Tuukka Suomalainen,FIN,1,4.669999999999993,0.2,1.770000000000016,Synthetic,4.57752780434254
Aleksandr Klenko,KAZ,1,4.779999999999978,0.2,1.770000000000016,Synthetic,4.685349658406269
Nikola Zdráhalova,CZE,1,4.832000000000056,0.2,1.770000000000016,Synthetic,4.736319989418296
Serena Pergher,ITA,1,4.9820000000000615,0.2,1.770000000000016,Synthetic,4.883349790414315
Seong-Hyeon Park,KOR,1,5.55999999999998,0.2,1.770000000000016,Synthetic,5.44990462358554
Iga Wojtasik,POL,1,6.009999999999996,0.2,1.770000000000016,Synthetic,5.890994026573595
Cosmin Nedelea,ROU,1,6.059999999999979,0.2,1.770000000000016,Synthetic,5.940003960238917
Martyna Baran,POL,1,7.582000000000056,0.2,1.770000000000016,Synthetic,7.4318663410118715
Lucie Korvasova,CZE,1,8.289999999999997,0.2,1.770000000000016,Synthetic,8.125847001713
Severin Widmer,SUI,1,15.362000000000055,0.2,1.770000000000016,Synthetic,15.057812019338428
