Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Kaitlyn McGregor,SUI,1,0.10000000000000009,0.2,1.852000000000038,Synthetic,0.0980198673306756
Natalia Jabrzyk,POL,1,1.2780000000000258,0.2,1.852000000000038,Synthetic,1.2526939044860586
Bjørn Magnussen,NOR,1,1.3280000000000372,0.2,1.852000000000038,Synthetic,1.3017038381514074
Gabriel Odor,AUT,1,1.3980000000000303,0.2,1.852000000000038,Synthetic,1.3703177452828736
Nil Llop Izquierdo,ESP,1,1.7599999999999967,0.2,1.852000000000038,Synthetic,1.725149665019886
Martyna Baran,POL,1,2.310000000000008,0.2,1.852000000000038,Synthetic,2.2642589353386127
Hyeon-Min Oh,KOR,1,2.5000000000000058,0.2,1.852000000000038,Synthetic,2.450496683266894
Moritz Klein,GER,1,2.518000000000035,0.2,1.852000000000038,Synthetic,2.468140259386444
Ivanie Blondin,CAN,1,2.590000000000009,0.2,1.852000000000038,Synthetic,2.538714563864505
Wenjing Jin,CHN,1,2.7380000000000337,0.2,1.852000000000038,Synthetic,2.683783967513929
Bálint Bödei,HUN,1,3.4180000000000406,0.2,1.852000000000038,Synthetic,3.3503190653625294
Tuukka Suomalainen,FIN,1,4.079999999999989,0.2,1.852000000000038,Synthetic,3.999210587091551
Aleksandr Klenko,KAZ,1,5.618000000000029,0.2,1.852000000000038,Synthetic,5.506756146637379
Lucie Korvasova,CZE,1,12.058000000000053,0.2,1.852000000000038,Synthetic,11.819235602732908
Hendrik Dombek,GER,1,17.31000000000001,0.2,1.852000000000038,Synthetic,16.967239034939944
Xianghe Quan,CHN,1,24.660000000000004,0.2,1.852000000000038,Synthetic,24.171699283744584
