Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Ethan Cepuran,USA,6,1.104000000000014,1.142762591176813,2.772000000000025,Actual,0.5746390226381414
Casey Dawson,USA,6,1.104000000000014,1.142762591176813,2.772000000000025,Actual,0.5746390226381414
Emery Lehman,USA,6,1.104000000000014,1.142762591176813,2.772000000000025,Actual,0.5746390226381414
Hallgeir Engebråten,NOR,1,1.7800000000000349,0.3568521061089666,2.772000000000025,Synthetic,1.6701971134790414
Albertus (Bart) Hoolwerf,NED,1,1.970000000000061,0.3568521061089666,2.772000000000025,Synthetic,1.8484765806481738
Jorrit Bergsma,NED,1,2.748000000000024,0.3568521061089666,2.772000000000025,Synthetic,2.57848408305638
Andrea Giovannini,ITA,5,3.2448000000000095,0.45184460539816135,2.772000000000025,Actual,2.9299106897809017
Michele Malfatti,ITA,5,3.2448000000000095,0.45184460539816135,2.772000000000025,Actual,2.9299106897809017
Davide Ghiotto,ITA,5,3.2448000000000095,0.45184460539816135,2.772000000000025,Actual,2.9299106897809017
Antoine Gélinas-Beaulieu,CAN,1,4.09799999999999,0.3568521061089666,2.772000000000025,Synthetic,3.845206612942113
Beau Snellink,NED,6,4.4523333333333435,0.4395895604966478,2.772000000000025,Actual,4.042279689789558
Chris Huizinga,NED,6,4.4523333333333435,0.4395895604966478,2.772000000000025,Actual,4.042279689789558
Mathieu Belloir,FRA,1,4.460000000000042,0.3568521061089666,2.772000000000025,Synthetic,4.1848759135485665
Marcel Bosker,NED,3,4.785333333333328,0.0369194454944388,2.772000000000025,Actual,4.782073130983711
Seitaro Ichinohe,JPN,1,5.700000000000051,0.3568521061089666,2.772000000000025,Synthetic,5.348384015073279
Didrik Eng Strand,NOR,3,5.905333333333341,0.5065640596886579,2.772000000000025,Actual,5.194250413285493
Zhenlong Cong,CHN,1,6.050000000000045,0.3568521061089666,2.772000000000025,Synthetic,5.676793559858472
Timothy Loubineaud,FRA,6,6.09900000000001,0.24438278449570092,2.772000000000025,Actual,5.919567274113613
Germain Deschamps,FRA,6,6.09900000000001,0.24438278449570092,2.772000000000025,Actual,5.919567274113613
Riku Tsuchiya,JPN,3,6.192666666666692,0.15094659132166957,2.772000000000025,Actual,6.122517447541003
Jason Suttels,BEL,3,6.302666666666696,0.22296834614651606,2.772000000000025,Actual,6.14792964819224
Daniel Hall,CAN,2,6.307999999999998,0.3568521061089666,2.772000000000025,Synthetic,5.918878310014374
Valentin Thiebault,FRA,5,6.426800000000003,0.22901590767680075,2.772000000000025,Actual,6.260453359922424
Felix Maly,GER,4,6.446000000000003,0.03494002578017554,2.772000000000025,Actual,6.442066544808874
Hanbin Liu,CHN,5,6.545200000000017,0.2473483947584406,2.772000000000025,Actual,6.348009774109806
Jake Weidemann,CAN,4,6.6335000000000175,0.2769566158543789,2.772000000000025,Actual,6.383905675147004
Zhongyan Ning,CHN,4,6.686000000000005,0.27676678037471136,2.772000000000025,Actual,6.434768483098576
Shoumu Sasaki,JPN,6,6.752333333333346,0.149238155555642,2.772000000000025,Actual,6.6775563892199115
Yu Wu,CHN,6,6.775666666666677,0.24037980716052867,2.772000000000025,Actual,6.582710147528424
Ted-Jan Bloemen,CAN,2,6.959000000000037,0.3568521061089666,2.772000000000025,Synthetic,6.52972006331488
Connor Howe,CAN,2,6.959000000000037,0.3568521061089666,2.772000000000025,Synthetic,6.52972006331488
Motonaga Arito,JPN,5,6.962800000000004,0.1438577375926209,2.772000000000025,Actual,6.891123733072669
Kazuya Yamada,JPN,3,7.311999999999998,0.0806609463610008,2.772000000000025,Actual,7.288252023836687
Tjerk de Boer,NED,1,7.639999999999992,0.3568521061089666,2.772000000000025,Synthetic,7.1687112061683225
Patrick Beckert,GER,5,7.734800000000012,0.27919659828855403,2.772000000000025,Actual,7.4391326068405395
Fridtjof Petzold,GER,5,7.734800000000012,0.27919659828855403,2.772000000000025,Actual,7.4391326068405395
Baoshuo Pan,CHN,1,7.8599999999999905,0.3568521061089666,2.772000000000025,Synthetic,7.375140062890446
Wenhao Li,CHN,1,7.927999999999974,0.3568521061089666,2.772000000000025,Synthetic,7.438945345877271
Marcin Bachanek,POL,4,7.986500000000019,0.08902639033259975,2.772000000000025,Actual,7.954913333692836
Seung-Min Jo,KOR,2,8.063999999999998,0.3568521061089666,2.772000000000025,Synthetic,7.566555911850971
Hojun Yang,KOR,2,8.063999999999998,0.3568521061089666,2.772000000000025,Synthetic,7.566555911850971
Jaewon Chung,KOR,2,8.063999999999998,0.3568521061089666,2.772000000000025,Synthetic,7.566555911850971
Vladimir Semirunniy,POL,5,8.51280000000001,0.14030395139825566,2.772000000000025,Actual,8.42942291664374
Szymon Palka,POL,5,8.51280000000001,0.14030395139825566,2.772000000000025,Actual,8.42942291664374
David Larue,CAN,1,8.518000000000006,0.3568521061089666,2.772000000000025,Synthetic,7.992550007086635
Indra Medard,BEL,4,8.727000000000016,0.4566690540191654,2.772000000000025,Actual,7.862843863776595
Bart Swings,BEL,4,8.727000000000016,0.4566690540191654,2.772000000000025,Actual,7.862843863776595
Livio Wenger,SUI,5,9.644800000000004,0.11008960987315417,2.772000000000025,Actual,9.586530582255568
Flavio Gross,SUI,5,9.644800000000004,0.11008960987315417,2.772000000000025,Actual,9.586530582255568
Thibault Métraux,SUI,5,9.644800000000004,0.11008960987315417,2.772000000000025,Actual,9.586530582255568
Sander Eitrem,NOR,5,9.808800000000014,0.9845798236950224,2.772000000000025,Actual,6.041070475718546
Mateusz Śliwka,POL,1,10.617999999999972,0.3568521061089666,2.772000000000025,Synthetic,9.963007275797793
Peder Kongshaug,NOR,3,11.37933333333334,1.2309444033832686,2.772000000000025,Actual,5.334455312623817
Stefan Emele,GER,1,12.890000000000049,0.3568521061089666,2.772000000000025,Synthetic,12.094854377946353
Viktor Hald Thorup,DEN,2,13.404000000000044,0.3568521061089666,2.772000000000025,Synthetic,12.57714725228804
Stefan Due Schmidt,DEN,2,13.404000000000044,0.3568521061089666,2.772000000000025,Synthetic,12.57714725228804
Philip Due Schmidt,DEN,2,13.404000000000044,0.3568521061089666,2.772000000000025,Synthetic,12.57714725228804
Sigurd Henriksen,NOR,3,14.818000000000017,0.7193353398638084,2.772000000000025,Actual,11.440057273980836
Nuraly Akzhol,KAZ,2,15.148999999999976,0.3568521061089666,2.772000000000025,Synthetic,14.214503411288469
Vitaliy Chshigolev,KAZ,2,15.25299999999999,0.3568521061089666,2.772000000000025,Synthetic,14.31208796173894
Andrey Zuyev,KAZ,3,15.375333333333321,0.032886881610457594,2.772000000000025,Actual,15.367021008395954
Vadim Yakubovskiy,KAZ,2,15.723999999999995,0.3568521061089666,2.772000000000025,Synthetic,14.75403337772131
Mathias Vosté,BEL,1,15.999999999999977,0.3568521061089666,2.772000000000025,Synthetic,15.01300776160905
Mark McCormack,NZL,1,17.508000000000045,0.3568521061089666,2.772000000000025,Synthetic,16.427983743140768
Bálint Bödei,HUN,4,18.308500000000002,0.1287914249889646,2.772000000000025,Actual,18.15728426857981
Botond Bejczi,HUN,4,18.308500000000002,0.1287914249889646,2.772000000000025,Actual,18.15728426857981
Konrád Nagy,HUN,4,18.308500000000002,0.1287914249889646,2.772000000000025,Actual,18.15728426857981
Peter Michael,NZL,2,18.324000000000048,0.3568521061089666,2.772000000000025,Synthetic,17.193647138982833
Kierryn Hughes,NZL,2,18.324000000000048,0.3568521061089666,2.772000000000025,Synthetic,17.193647138982833
Tadeáš Procházka,CZE,2,18.973999999999982,0.3568521061089666,2.772000000000025,Synthetic,17.80355057929814
Metoděj Jílek,CZE,2,18.973999999999982,0.3568521061089666,2.772000000000025,Synthetic,17.80355057929814
Jakub Koci,CZE,2,18.973999999999982,0.3568521061089666,2.772000000000025,Synthetic,17.80355057929814
Josh Whyte,NZL,1,19.14000000000005,0.3568521061089666,2.772000000000025,Synthetic,17.959310534824894
