Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Giorgia Birkeland,USA,2,1.20899999999998,0.48641262740267177,5.1339999999999915,Synthetic,1.074112725971791
Hana Noake,JPN,2,1.7609999999999866,0.48641262740267177,5.1339999999999915,Synthetic,1.5645264767877096
Marijke Groenewoud,NED,4,1.850500000000002,1.4186663658064453,5.1339999999999915,Actual,0.6764807710855993
Joy Beune,NED,5,2.558800000000002,1.447092337389392,5.1339999999999915,Actual,0.8980767758236403
Antoinette Rijpma-de Jong,NED,5,2.558800000000002,1.447092337389392,5.1339999999999915,Actual,0.8980767758236403
Sumire Kikuchi,JPN,1,2.587999999999999,0.48641262740267177,5.1339999999999915,Synthetic,2.2992586723035897
Miho Takagi,JPN,6,3.085333333333329,0.7065875518838781,5.1339999999999915,Actual,2.4037420653876707
Ayano Sato,JPN,6,3.085333333333329,0.7065875518838781,5.1339999999999915,Actual,2.4037420653876707
Momoka Horikawa,JPN,3,4.134000000000001,0.5043855363397248,5.1339999999999915,Actual,3.6402162041353767
Jiaxuan Li,CHN,2,4.243999999999991,0.48641262740267177,5.1339999999999915,Synthetic,3.7704999247513205
Mia Manganello,USA,6,4.781999999999993,0.8140001313796883,5.1339999999999915,Actual,3.433433435430403
Brittany Bowe,USA,6,4.781999999999993,0.8140001313796883,5.1339999999999915,Actual,3.433433435430403
Ivanie Blondin,CAN,6,4.938666666666664,1.2915972244506029,5.1339999999999915,Actual,2.144665710108525
Valerie Maltais,CAN,6,4.938666666666664,1.2915972244506029,5.1339999999999915,Actual,2.144665710108525
Isabelle Weidemann,CAN,6,4.938666666666664,1.2915972244506029,5.1339999999999915,Actual,2.144665710108525
Elisa Dul,NED,1,5.392000000000001,0.48641262740267177,5.1339999999999915,Synthetic,4.790418377535148
Jundan Hou,CHN,2,5.46099999999999,0.48641262740267177,5.1339999999999915,Synthetic,4.851720096387127
Mei Han,CHN,4,5.864499999999991,0.29687703377806984,5.1339999999999915,Actual,5.611674951973478
Josie Hofmann,GER,5,6.4007999999999985,0.3280425087940983,5.1339999999999915,Actual,6.065500361121544
Lea Sophie Scholz,GER,6,6.472,0.3025568910953286,5.1339999999999915,Actual,6.182451301678704
Josephine Schlörb,GER,6,6.472,0.3025568910953286,5.1339999999999915,Actual,6.182451301678704
Greta Myers,USA,4,6.5684999999999985,0.30466172269160857,5.1339999999999915,Actual,6.270625517909602
Nadezhda Morozova,KAZ,3,6.62333333333333,0.20206074803783597,5.1339999999999915,Actual,6.489493567618147
Elizaveta Golubeva,KAZ,3,6.62333333333333,0.20206074803783597,5.1339999999999915,Actual,6.489493567618147
Arina Ilyachshenko,KAZ,3,6.62333333333333,0.20206074803783597,5.1339999999999915,Actual,6.489493567618147
Maira Jasch,GER,1,6.828000000000008,0.48641262740267177,5.1339999999999915,Synthetic,6.066204874222928
Binyu Yang,CHN,5,8.276399999999995,0.3661263838487272,5.1339999999999915,Actual,7.739861758382492
Marte Bjerkreim Furnée,NOR,3,8.60666666666666,0.35202556494595133,5.1339999999999915,Actual,8.089574206127734
Zofia Braun,POL,2,9.195999999999989,0.48641262740267177,5.1339999999999915,Synthetic,8.170008790766536
Arianna Fontana,ITA,3,9.227333333333325,0.11958439805258214,5.1339999999999915,Actual,9.161591239278623
Natalia Czerwonka,POL,3,9.399999999999991,0.03075662618603234,5.1339999999999915,Actual,9.395554992038532
Lucie Korvasova,CZE,1,9.582,0.48641262740267177,5.1339999999999915,Synthetic,8.512943044054488
Sandrine Tas,BEL,5,9.618399999999998,0.1672234861450291,5.1339999999999915,Actual,9.484852795197511
Isabelle van Elst,BEL,5,9.618399999999998,0.1672234861450291,5.1339999999999915,Actual,9.484852795197511
Fran Vanhoutte,BEL,5,9.618399999999998,0.1672234861450291,5.1339999999999915,Actual,9.484852795197511
Ragne Wiklund,NOR,6,9.778666666666657,0.2973683098817723,5.1339999999999915,Actual,9.355731837661628
Aurora Grinden Løvås,NOR,6,9.778666666666657,0.2973683098817723,5.1339999999999915,Actual,9.355731837661628
Magdalena Czyszczoń,POL,1,9.807999999999998,0.48641262740267177,5.1339999999999915,Synthetic,8.713728384062449
Natalia Jabrzyk,POL,3,9.83866666666666,0.08986153491714352,5.1339999999999915,Actual,9.79902266653893
Ahenaer Adake,CHN,3,9.86399999999999,0.3172766600778134,5.1339999999999915,Actual,9.379810181945196
Olga Piotrowska,POL,2,10.466,0.48641262740267177,5.1339999999999915,Synthetic,9.298315789926345
Wenjing Jin,CHN,2,10.866999999999996,0.48641262740267177,5.1339999999999915,Synthetic,9.654576503834278
Hanna Svenni,NOR,3,10.950666666666654,0.09544444586826853,5.1339999999999915,Actual,10.900901759977302
Karolina Bosiek,POL,1,11.124,0.48641262740267177,5.1339999999999915,Synthetic,9.882903195790243
Martina Sáblíková,CZE,2,11.543,0.48641262740267177,5.1339999999999915,Synthetic,10.255155662442176
Nikola Zdráhalova,CZE,2,11.543,0.48641262740267177,5.1339999999999915,Synthetic,10.255155662442176
Francesca Lollobrigida,ITA,5,11.794799999999999,0.2780687933250989,5.1339999999999915,Actual,11.34750197581921
