Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Zhongyan Ning,CHN,1,0.46399999999999014,0.52645385462739,0.580000000000004,Synthetic,0.40395671118995735
Stefan Westenbroek,NED,2,0.5600000000000008,0.52645385462739,0.580000000000004,Synthetic,0.4875339617809941
Conor Mcdermott-Mostowy,USA,2,0.6219999999999986,0.52645385462739,0.580000000000004,Synthetic,0.5415109361210306
Jenning de Boo,NED,3,0.6246666666666659,0.6668776556995629,0.580000000000004,Actual,0.5001236012109384
Tim Prins,NED,3,0.6246666666666659,0.6668776556995629,0.580000000000004,Actual,0.5001236012109384
Janno Botman,NED,1,0.7539999999999962,0.52645385462739,0.580000000000004,Synthetic,0.6564296556836914
Zach Stoppelmoor,USA,4,0.7910000000000026,1.0829508684481732,0.580000000000004,Actual,0.44005806144286447
Cooper Mcleod,USA,4,0.7910000000000026,1.0829508684481732,0.580000000000004,Actual,0.44005806144286447
Zhiwen Xue,CHN,2,0.9219999999999957,0.52645385462739,0.580000000000004,Synthetic,0.802689844217989
Austin Kleba,USA,2,0.9600000000000066,0.52645385462739,0.580000000000004,Synthetic,0.8357725059102801
Damian Żurek,POL,2,1.4850000000000052,0.52645385462739,0.580000000000004,Synthetic,1.2928355950799602
Piotr Michalski,POL,2,1.4850000000000052,0.52645385462739,0.580000000000004,Synthetic,1.2928355950799602
Didrik Eng Strand,NOR,1,1.653999999999988,0.52645385462739,0.580000000000004,Synthetic,1.4399663799745663
Connor Howe,CAN,3,1.7466666666666708,0.2882021373368539,0.580000000000004,Actual,1.6756128411628461
Anders Johnson,CAN,3,1.7466666666666708,0.2882021373368539,0.580000000000004,Actual,1.6756128411628461
Laurent Dubreuil,CAN,3,1.7466666666666708,0.2882021373368539,0.580000000000004,Actual,1.6756128411628461
Joon-Ho Kim,KOR,3,1.9566666666666646,0.2674148324865686,0.580000000000004,Actual,1.8879413428878131
Min Kyu Cha,KOR,3,1.9566666666666646,0.2674148324865686,0.580000000000004,Actual,1.8879413428878131
Marek Kania,POL,3,1.9946666666666701,0.47565671229606993,0.580000000000004,Actual,1.7813157881088126
Siver Brattgjerd,NOR,1,2.0039999999999965,0.52645385462739,0.580000000000004,Synthetic,1.7446751060876948
Sanghyeok Cho,KOR,4,2.3159999999999976,0.3429487294931203,0.580000000000004,Actual,2.1837304811054987
Henrik Fagerli Rukke,NOR,3,2.3426666666666605,0.3006552940397719,0.580000000000004,Actual,2.239142720923056
Bjørn Magnussen,NOR,3,2.3426666666666605,0.3006552940397719,0.580000000000004,Actual,2.239142720923056
Ziwen Lian,CHN,3,2.626666666666666,1.051344809635555,0.580000000000004,Actual,1.511424616709892
Daniel Milagros,ESP,1,2.9200000000000075,0.52645385462739,0.580000000000004,Synthetic,2.542141372143758
Jhoan Sebastian Guzman Bitar,ESP,1,2.9200000000000075,0.52645385462739,0.580000000000004,Synthetic,2.542141372143758
Nil Llop Izquierdo,ESP,1,2.9200000000000075,0.52645385462739,0.580000000000004,Synthetic,2.542141372143758
Moritz Klein,GER,2,2.9500000000000015,0.52645385462739,0.580000000000004,Synthetic,2.5682592629534486
Hendrik Dombek,GER,2,2.9500000000000015,0.52645385462739,0.580000000000004,Synthetic,2.5682592629534486
Stefan Emele,GER,2,2.9500000000000015,0.52645385462739,0.580000000000004,Synthetic,2.5682592629534486
Kacper Abratkiewicz,POL,1,3.014000000000001,0.52645385462739,0.580000000000004,Synthetic,2.623977430014133
Szymon Wojtakowski,POL,1,3.014000000000001,0.52645385462739,0.580000000000004,Synthetic,2.623977430014133
Zhihan Deng,CHN,2,3.0769999999999964,0.52645385462739,0.580000000000004,Synthetic,2.678825000714491
Pål Myhren Kristensen,NOR,1,3.369999999999996,0.52645385462739,0.580000000000004,Synthetic,2.933909734289189
Kyungmin Koo,KOR,1,3.393999999999997,0.52645385462739,0.580000000000004,Synthetic,2.9548040469369465
Hyeon-Min Oh,KOR,1,3.393999999999997,0.52645385462739,0.580000000000004,Synthetic,2.9548040469369465
Oliver Grob,SUI,1,4.634000000000006,0.52645385462739,0.580000000000004,Synthetic,4.034343533737725
Livio Wenger,SUI,1,4.634000000000006,0.52645385462739,0.580000000000004,Synthetic,4.034343533737725
Flavio Gross,SUI,1,4.634000000000006,0.52645385462739,0.580000000000004,Synthetic,4.034343533737725
Tianlong Li,CHN,1,4.773999999999992,0.52645385462739,0.580000000000004,Synthetic,4.156227024182962
Wenhao Li,CHN,1,4.773999999999992,0.52645385462739,0.580000000000004,Synthetic,4.156227024182962
Aleksandr Klenko,KAZ,1,5.194000000000008,0.52645385462739,0.580000000000004,Synthetic,4.52187749551872
Nuraly Akzhol,KAZ,1,5.194000000000008,0.52645385462739,0.580000000000004,Synthetic,4.52187749551872
Nikita Vazhenin,KAZ,1,5.194000000000008,0.52645385462739,0.580000000000004,Synthetic,4.52187749551872
Konrád Nagy,HUN,1,5.393999999999997,0.52645385462739,0.580000000000004,Synthetic,4.695996767583351
Bálint Bödei,HUN,2,5.521999999999997,0.52645385462739,0.580000000000004,Synthetic,4.807433101704722
Botond Bejczi,HUN,2,5.521999999999997,0.52645385462739,0.580000000000004,Synthetic,4.807433101704722
Lukács Soma,HUN,1,5.649999999999997,0.52645385462739,0.580000000000004,Synthetic,4.918869435826091
