Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Jutta Leerdam,NED,1,0.09999999999999998,0.3497578271067209,0.7640000000000157,Synthetic,0.09406677638856271
Angel Daleman,NED,1,0.09999999999999998,0.3497578271067209,0.7640000000000157,Synthetic,0.09406677638856271
Anna Boersma,NED,1,0.4160000000000167,0.3497578271067209,0.7640000000000157,Synthetic,0.39131778977643666
Marrit Fledderus,NED,1,0.4160000000000167,0.3497578271067209,0.7640000000000157,Synthetic,0.39131778977643666
Femke Kok,NED,1,0.4160000000000167,0.3497578271067209,0.7640000000000157,Synthetic,0.39131778977643666
Suzanne Schulting,NED,2,0.5810000000000088,0.3497578271067209,0.7640000000000157,Synthetic,0.5465279708175578
Carolina Hiller-Donnelly,CAN,2,0.6090000000000145,0.3497578271067209,0.7640000000000157,Synthetic,0.5728666682063607
Naomi Verkerk,NED,1,1.0620000000000176,0.3497578271067209,0.7640000000000157,Synthetic,0.9989891652465528
Dione Voskamp,NED,1,1.0620000000000176,0.3497578271067209,0.7640000000000157,Synthetic,0.9989891652465528
Béatrice Lamarche,CAN,4,1.0660000000000118,0.6466442280188319,0.7640000000000157,Actual,0.8648829898315424
Ivanie Blondin,CAN,4,1.0660000000000118,0.6466442280188319,0.7640000000000157,Actual,0.8648829898315424
Andżelika Wójcik,POL,3,1.47933333333334,0.5117339595842398,0.7640000000000157,Actual,1.2977807796483851
Brooklyn McDougall,CAN,2,1.523000000000009,0.3497578271067209,0.7640000000000157,Synthetic,1.432637004397819
Kaja Ziomek-Nogal,POL,4,1.5810000000000088,0.4704239693708283,0.7640000000000157,Actual,1.4153943753368252
Karolina Bosiek,POL,4,1.5810000000000088,0.4704239693708283,0.7640000000000157,Actual,1.4153943753368252
Martyna Baran,POL,1,1.8860000000000157,0.3497578271067209,0.7640000000000157,Synthetic,1.774099402688308
Lea Sophie Scholz,GER,1,2.4120000000000115,0.3497578271067209,0.7640000000000157,Synthetic,2.2688906464921437
Anna Ostlender,GER,2,2.7290000000000116,0.3497578271067209,0.7640000000000157,Synthetic,2.567082327643888
Sophie Warmuth,GER,2,2.7290000000000116,0.3497578271067209,0.7640000000000157,Synthetic,2.567082327643888
Nadezhda Morozova,KAZ,3,2.8926666666666763,0.3145365129552907,0.7640000000000157,Actual,2.7530577132761054
Darja Vazhenina,KAZ,3,2.8926666666666763,0.3145365129552907,0.7640000000000157,Actual,2.7530577132761054
Kristina Silaeva,KAZ,3,2.8926666666666763,0.3145365129552907,0.7640000000000157,Actual,2.7530577132761054
Marlen Ehseluns,GER,1,3.0460000000000123,0.3497578271067209,0.7640000000000157,Synthetic,2.865274008795632
McKenzie Browne,USA,2,4.924000000000005,0.3497578271067209,0.7640000000000157,Synthetic,4.631848069372833
Chrysta Rands-Evans,USA,2,4.924000000000005,0.3497578271067209,0.7640000000000157,Synthetic,4.631848069372833
Sarah Warren,USA,2,4.924000000000005,0.3497578271067209,0.7640000000000157,Synthetic,4.631848069372833
Qi Yin,CHN,1,4.940000000000003,0.3497578271067209,0.7640000000000157,Synthetic,4.646898753595002
Julie Nistad Samsonsen,NOR,3,5.079333333333343,0.05261873498149924,0.7640000000000157,Actual,5.072306543760517
Carina Jagtøyen,NOR,3,5.079333333333343,0.05261873498149924,0.7640000000000157,Actual,5.072306543760517
Aurora Grinden Løvås,NOR,3,5.079333333333343,0.05261873498149924,0.7640000000000157,Actual,5.072306543760517
Jingziqian Wang,CHN,2,6.971000000000009,0.3497578271067209,0.7640000000000157,Synthetic,6.5573949820467154
Ruining Tian,CHN,2,6.971000000000009,0.3497578271067209,0.7640000000000157,Synthetic,6.5573949820467154
Shihui Yu,CHN,1,9.002000000000015,0.3497578271067209,0.7640000000000157,Synthetic,8.46789121049843
