Event,NED_Gold,NED_Silver,NED_Bronze,NED_Total_Medals
Mixed Relay (Men),9999,1,0,10000
Team Sprint (Women),9995,9958,8514,28467
500 meter (Women),8290,3803,3754,15847
Team Pursuit (Women),7292,4998,3199,15489
1500 meter (Women),7276,3053,3079,13408
5000 meter (Women),7235,5743,4387,17365
Mass Start (Men),4994,2307,1694,8995
1000 meter (Women),4201,7395,6542,18138
5000 meter (Men),3350,2996,2100,8446
3000 meter (Women),3208,6631,5497,15336
Team Sprint (Men),2912,4101,4397,11410
500 meter (Men),2530,2410,1939,6879
Mass Start (Women),2513,1573,1339,5425
1000 meter (Men),1735,6680,5339,13754
1500 meter (Men),729,2778,2867,6374
Team Pursuit (Men),45,445,1581,2071
10.000 meter (Men),27,351,882,1260
Mixed Relay (Women),0,0,0,0
