Event,Gender,Trial_Status,Athlete,Avg_Finish_Pos
1000 meter (Men),Men,Trial Rider 1,Jenning de Boo,3.061
1500 meter (Men),Men,Trial Rider 1,Kjeld Nuis,4.882
Team Pursuit (Men),Men,Trial Rider 1,Albertus (Bart) Hoolwerf,5.648
500 meter (Men),Men,Trial Rider 1,Jenning de Boo,5.68
1000 meter (Men),Men,Trial Rider 3,Kjeld Nuis,5.817
1000 meter (Men),Men,Trial Rider 2,Tim Prins,5.834
1500 meter (Men),Men,Trial Rider 2,Tim Prins,6.47
5000 meter (Men),Men,Trial Rider 1,Beau Snellink,8.109
Team Pursuit (Men),Men,Trial Rider 2,Jorrit Bergsma,8.352
5000 meter (Men),Men,Trial Rider 2,Chris Huizinga,9.258
Mass Start (Men),Men,Trial Rider 2,Jorrit Bergsma,10.27
10.000 meter (Men),Men,Trial Rider 1,Jorrit Bergsma,10.412
Mass Start (Men),Men,Trial Rider 1,Albertus (Bart) Hoolwerf,11.149
500 meter (Men),Men,Trial Rider 2,Sebastian Diniz,12.232
1500 meter (Men),Men,Trial Rider 3,Wesly Dijs,14.35
500 meter (Men),Men,Trial Rider 3,Janno Botman,14.838
5000 meter (Men),Men,Trial Rider 3,Jorrit Bergsma,15.122
10.000 meter (Men),Men,Trial Rider 2,Kars Jansman,15.918
Team Pursuit (Men),Men,Trial Rider 3,Beau Snellink,16.264
10.000 meter (Men),Men,Trial Rider 3,Beau Snellink,17.361
500 meter (Women),Women,Trial Rider 1,Femke Kok,1.766
5000 meter (Women),Women,Trial Rider 1,Joy Beune,2.199
3000 meter (Women),Women,Trial Rider 1,Joy Beune,2.494
1000 meter (Women),Women,Trial Rider 1,Femke Kok,2.576
1000 meter (Women),Women,Trial Rider 2,Jutta Leerdam,3.67
5000 meter (Women),Women,Trial Rider 2,Merel Conijn,4.258
1500 meter (Women),Women,Trial Rider 1,Joy Beune,4.299
1500 meter (Women),Women,Trial Rider 2,Antoinette Rijpma-de Jong,5.568
5000 meter (Women),Women,Trial Rider 3,Sanne In 't Hof,6.075
Team Pursuit (Women),Women,Trial Rider 1,Marijke Groenewoud,6.174
1000 meter (Women),Women,Trial Rider 3,Angel Daleman,6.649
500 meter (Women),Women,Trial Rider 2,Suzanne Schulting,7.047
3000 meter (Women),Women,Trial Rider 2,Merel Conijn,7.224
500 meter (Women),Women,Trial Rider 3,Jutta Leerdam,7.543
Team Pursuit (Women),Women,Trial Rider 2,Joy Beune,8.187
Team Pursuit (Women),Women,Trial Rider 3,Antoinette Rijpma-de Jong,8.195
Mass Start (Women),Women,Trial Rider 1,Marijke Groenewoud,8.887
3000 meter (Women),Women,Trial Rider 3,Marijke Groenewoud,10.96
1500 meter (Women),Women,Trial Rider 3,Angel Daleman,13.904
Mass Start (Women),Women,Trial Rider 2,Elisa Dul,15.699
Mass Start (Women),Women,Trial Rider 3,Bente Kerkhoff,17.389
