Event,Gender,Slot,Win_Prob,Podium_Prob,Excluded_Athlete,Event_Win_Loss_vs_Std
5000 meter (Men),Men,Top without Best 1,0.2918,0.602,Stijn van de Bunt,-0.2428
5000 meter (Men),Men,Top without Best 2,0.0184,0.1914,Stijn van de Bunt,-0.2428
5000 meter (Men),Men,Top without Best 3,0.0001,0.0072,Stijn van de Bunt,-0.2428
10.000 meter (Men),Men,Top without Best 1,0.0095,0.2116,Stijn van de Bunt,-0.2414
10.000 meter (Men),Men,Top without Best 2,0.0004,0.0405,Stijn van de Bunt,-0.2414
10.000 meter (Men),Men,Top without Best 3,0.0028,0.0935,Stijn van de Bunt,-0.2414
500 meter (Men),Men,Top without Best 1,0.0149,0.127,Jenning de Boo,-0.2397
500 meter (Men),Men,Top without Best 2,0.0001,0.0089,Jenning de Boo,-0.2397
500 meter (Men),Men,Top without Best 3,0.0028,0.0295,Jenning de Boo,-0.2397
1000 meter (Men),Men,Top without Best 1,0.0252,0.3775,Jenning de Boo,-0.1118
1000 meter (Men),Men,Top without Best 2,0.0153,0.3044,Jenning de Boo,-0.1118
1000 meter (Men),Men,Top without Best 3,0.0294,0.2931,Jenning de Boo,-0.1118
Mass Start (Men),Men,Top without Best 1,0.4412,0.6178,Albertus (Bart) Hoolwerf,-0.0638
1500 meter (Men),Men,Top without Best 1,0.0108,0.195,Kjeld Nuis,-0.0596
1500 meter (Men),Men,Top without Best 2,0.0,0.0025,Kjeld Nuis,-0.0596
1500 meter (Men),Men,Top without Best 3,0.0004,0.0161,Kjeld Nuis,-0.0596
500 meter (Women),Women,Top without Best 1,0.191,0.4672,Femke Kok,-0.5752
500 meter (Women),Women,Top without Best 2,0.0536,0.2736,Femke Kok,-0.5752
500 meter (Women),Women,Top without Best 3,0.0121,0.1029,Femke Kok,-0.5752
1500 meter (Women),Women,Top without Best 1,0.0451,0.3116,Joy Beune,-0.4488
1500 meter (Women),Women,Top without Best 2,0.0429,0.301,Joy Beune,-0.4488
1500 meter (Women),Women,Top without Best 3,0.1244,0.2957,Joy Beune,-0.4488
Mass Start (Women),Women,Top without Best 1,0.0091,0.0759,Marijke Groenewoud,-0.2376
Mass Start (Women),Women,Top without Best 2,0.0,0.0,Marijke Groenewoud,-0.2376
Mass Start (Women),Women,Top without Best 3,0.0,0.0009,Marijke Groenewoud,-0.2376
5000 meter (Women),Women,Top without Best 1,0.4701,0.7142,Joy Beune,-0.2135
5000 meter (Women),Women,Top without Best 2,0.0456,0.3162,Joy Beune,-0.2135
5000 meter (Women),Women,Top without Best 3,0.0012,0.02,Joy Beune,-0.2135
3000 meter (Women),Women,Top without Best 1,0.1565,0.6197,Joy Beune,-0.1308
3000 meter (Women),Women,Top without Best 2,0.0341,0.3142,Joy Beune,-0.1308
3000 meter (Women),Women,Top without Best 3,0.0001,0.0058,Joy Beune,-0.1308
1000 meter (Women),Women,Top without Best 1,0.2948,0.8129,Femke Kok,-0.102
1000 meter (Women),Women,Top without Best 2,0.0067,0.1975,Femke Kok,-0.102
1000 meter (Women),Women,Top without Best 3,0.0124,0.2326,Femke Kok,-0.102
