Event,Gender,Slot,Win_Prob,Podium_Prob
Mass Start (Men),Men,Top Potential 2,0.4252,0.5916
5000 meter (Men),Men,Top Potential 1,0.3342,0.9757
10.000 meter (Men),Men,Top Potential 1,0.2577,0.9938
500 meter (Men),Men,Top Potential 1,0.239,0.5736
5000 meter (Men),Men,Top Potential 2,0.2083,0.5163
1000 meter (Men),Men,Top Potential 1,0.1609,0.795
Mass Start (Men),Men,Top Potential 1,0.0777,0.3013
1500 meter (Men),Men,Top Potential 1,0.0645,0.4698
1000 meter (Men),Men,Top Potential 2,0.0105,0.2791
500 meter (Men),Men,Top Potential 2,0.0079,0.0846
1500 meter (Men),Men,Top Potential 2,0.0067,0.1433
1000 meter (Men),Men,Top Potential 3,0.0058,0.2006
5000 meter (Men),Men,Top Potential 3,0.0025,0.0802
10.000 meter (Men),Men,Top Potential 2,0.0002,0.096
500 meter (Men),Men,Top Potential 3,0.0002,0.0036
10.000 meter (Men),Men,Top Potential 3,0.0,0.0088
1500 meter (Men),Men,Top Potential 3,0.0,0.0008
500 meter (Women),Women,Top Potential 1,0.8032,0.935
1500 meter (Women),Women,Top Potential 1,0.6323,0.7863
5000 meter (Women),Women,Top Potential 2,0.3683,0.6519
5000 meter (Women),Women,Top Potential 1,0.3378,0.8612
Mass Start (Women),Women,Top Potential 1,0.2373,0.4943
1000 meter (Women),Women,Top Potential 2,0.2282,0.7553
3000 meter (Women),Women,Top Potential 1,0.1946,0.848
1000 meter (Women),Women,Top Potential 1,0.1881,0.8566
3000 meter (Women),Women,Top Potential 2,0.1035,0.4849
500 meter (Women),Women,Top Potential 2,0.0292,0.3686
3000 meter (Women),Women,Top Potential 3,0.0156,0.1801
1500 meter (Women),Women,Top Potential 2,0.0153,0.2237
1500 meter (Women),Women,Top Potential 3,0.0148,0.2179
5000 meter (Women),Women,Top Potential 3,0.0135,0.1743
500 meter (Women),Women,Top Potential 3,0.0052,0.1661
Mass Start (Women),Women,Top Potential 2,0.0041,0.048
1000 meter (Women),Women,Top Potential 3,0.0015,0.0919
Mass Start (Women),Women,Top Potential 3,0.0,0.0
