Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Antoinette Rijpma-de Jong,0.9004,0.0427,0.3052
Femke Kok,0.8827,0.0464,0.2838
Marijke Groenewoud,0.548,0.0697,0.1692
Angel Daleman,0.3141,0.0046,0.027
Melissa Wijfje,0.1265,0.0,0.0005
Isabel Grevelt,0.0987,0.0,0.0005
Chloé Hoogendoorn,0.0622,0.0,0.0
Jutta Leerdam,0.0282,0.0,0.0
Meike Veen,0.0146,0.0,0.0
Elisa Dul,0.0077,0.0,0.0
Pien Smit,0.0082,0.0,0.0
Gioya Lancee,0.0076,0.0,0.0
Esther Kiel,0.0007,0.0,0.0
Leonie Bats,0.0002,0.0,0.0
Evelien Vijn,0.0002,0.0,0.0
Sanne Westra,0.0,0.0,0.0
Rosalie van Vliet,0.0,0.0,0.0
Mette ten Cate,0.0,0.0,0.0
Sophie Exterkate,0.0,0.0,0.0
Evi de Ruijter,0.0,0.0,0.0
