Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Antoinette Rijpma-de Jong,0.8433,0.0353,0.2733
Femke Kok,0.8194,0.0387,0.2515
Marijke Groenewoud,1.0,0.1257,0.3045
Angel Daleman,0.2073,0.0023,0.0172
Melissa Wijfje,0.0486,0.0,0.0002
Isabel Grevelt,0.0416,0.0,0.0004
Chloé Hoogendoorn,0.0207,0.0,0.0
Jutta Leerdam,0.009,0.0,0.0
Meike Veen,0.0041,0.0,0.0
Elisa Dul,0.0024,0.0,0.0
Pien Smit,0.0016,0.0,0.0
Gioya Lancee,0.0017,0.0,0.0
Esther Kiel,0.0003,0.0,0.0
Leonie Bats,0.0,0.0,0.0
Evelien Vijn,0.0,0.0,0.0
Sanne Westra,0.0,0.0,0.0
Rosalie van Vliet,0.0,0.0,0.0
Mette ten Cate,0.0,0.0,0.0
Sophie Exterkate,0.0,0.0,0.0
Evi de Ruijter,0.0,0.0,0.0
