Athlete,Country,Win_Prob
Davide Ghiotto,ITA,0.8689
Metoděj Jílek,CZE,0.0473
Vladimir Semirunniy,POL,0.0696
Sander Eitrem,NOR,0.0007
Timothy Loubineaud,FRA,0.0011
Jorrit Bergsma,NED,0.0
Casey Dawson,USA,0.0
Bart Swings,BEL,0.0024
Kars Jansman,NED,0.0026
Ted-Jan Bloemen,CAN,0.0001
Beau Snellink,NED,0.0013
Chris Huizinga,NED,0.0
Riccardo Lorello,ITA,0.0008
Graeme Fish,CAN,0.0012
Manuel Ghiotto,ITA,0.0007
Sigurd Henriksen,NOR,0.0004
Felix Maly,GER,0.0
Andrea Giovannini,ITA,0.0005
Hanbin Liu,CHN,0.0004
Michele Malfatti,ITA,0.0005
Fridtjof Petzold,GER,0.0003
Yu Wu,CHN,0.0001
Patrick Beckert,GER,0.0
Gabriel Groß,GER,0.0003
Seung-Hoon Lee,KOR,0.0001
Viktor Hald Thorup,DEN,0.0
Zhenlong Cong,CHN,0.0003
Kristian Gamme Ulekleiv,NOR,0.0001
Marcel Bosker,NED,0.0
Taiyo Morino,JPN,0.0
Thibault Métraux,SUI,0.0
Marwin Talsma,NED,0.0001
Riku Tsuchiya,JPN,0.0001
Ethan Cepuran,USA,0.0
Jason Suttels,BEL,0.0
Alexander Farthofer,AUT,0.0
Jaewon Chung,KOR,0.0
Livio Wenger,SUI,0.0
Daniil Naidenyshev,RUS,0.0
Szymon Palka,POL,0.0
Motonaga Arito,JPN,0.0
Wenhao Li,CHN,0.0
Seung-Min Jo,KOR,0.0
Seitaro Ichinohe,JPN,0.0
Hallgeir Engebråten,NOR,0.0
Vitaliy Chshigolev,KAZ,0.0
Sigurd Holbø Dyrset,NOR,0.0
Mateusz Śliwka,POL,0.0
Peter Michael,NZL,0.0
Giovanni Trebouta,FRA,0.0
Oddbjørn Mellemstrand,NOR,0.0001
Shoumu Sasaki,JPN,0.0
Daniel Hall,CAN,0.0
Kelin Dunfee,USA,0.0
Lukas Stekly,SVK,0.0
Severin Widmer,SUI,0.0
Nichika Endo,JPN,0.0
Miguel Bravo,POR,0.0
Jonathan Tobon,USA,0.0
Alemasi Kahanbai,CHN,0.0
Andrey Zuyev,KAZ,0.0
Philip Due Schmidt,DEN,0.0
Daan van der Elst,BEL,0.0
