Athlete,Country,Win_Prob
Miho Takagi,JPN,0.5601
Femke Kok,NED,0.1921
Jutta Leerdam,NED,0.2242
Brittany Bowe,USA,0.0034
Angel Daleman,NED,0.0012
Mei Han,CHN,0.0076
Antoinette Rijpma-de Jong,NED,0.0051
Marrit Fledderus,NED,0.0019
Rio Yamada,JPN,0.0002
Kimi Goetz,USA,0.0
Qi Yin,CHN,0.0
Suzanne Schulting,NED,0.0014
Nikola Zdráhalova,CZE,0.0
Béatrice Lamarche,CAN,0.0014
Ayano Sato,JPN,0.0
Isabel Grevelt,NED,0.0008
Yukino Yoshida,JPN,0.0
Na-Hyeon Lee,KOR,0.0001
Min-Seon Kim,KOR,0.0
Andżelika Wójcik,POL,0.0
Elizaveta Golubeva,KAZ,0.0
Naomi Verkerk,NED,0.0
Karolina Bosiek,POL,0.0
Alexa Scott,CAN,0.0
Isabelle van Elst,BEL,0.0
Meike Veen,NED,0.0
Chloé Hoogendoorn,NED,0.0
Sofia Thorup,DEN,0.0
Nadezhda Morozova,KAZ,0.0
Natalia Czerwonka,POL,0.0
Anna Ostlender,GER,0.0
Ellia Smeding,GBR,0.0
Kristina Silaeva,KAZ,0.0
Natalia Jabrzyk,POL,0.0002
Vanessa Herzog,AUT,0.0
Lea Sophie Scholz,GER,0.0
Greta Myers,USA,0.0
Kaitlyn McGregor,SUI,0.0
Rin Kosaka,JPN,0.0
Jeannine Rosner,AUT,0.0
Giorgia Aiello,ITA,0.0
Kaja Ziomek-Nogal,POL,0.0
Ruining Tian,CHN,0.0
Soo-Min Kang,KOR,0.0
Rose Laliberté-Roy,CAN,0.0
Sumire Kikuchi,JPN,0.0
Iga Wojtasik,POL,0.0
Maddison Pearman,CAN,0.0
Fran Vanhoutte,BEL,0.0
Erin Jackson,USA,0.0003
Arina Ilyachshenko,KAZ,0.0
Mia Manganello,USA,0.0
Dongxue Xi,CHN,0.0
Kyeong-Joo Kim,KOR,0.0
Anna Kubo,JPN,0.0
Chrysta Rands-Evans,USA,0.0
Abigail Mccluskey,CAN,0.0
Maybritt Vigl,ITA,0.0
Min-Jee Kim,KOR,0.0
Serena Pergher,ITA,0.0
Kako Yamane,JPN,0.0
Brooklyn McDougall,CAN,0.0
Darja Vazhenina,KAZ,0.0
Ying-Chu Chen,TPE,0.0
Julie Nistad Samsonsen,NOR,0.0
Leewon Lim,KOR,0.0
Hana Noake,JPN,0.0
Sarah Warren,USA,0.0
Chong Pei,CHN,0.0
Sofie Adeberg,GER,0.0
Meng Xu,CHN,0.0
Carina Jagtøyen,NOR,0.0
Iori Kitahara,JPN,0.0
Kristina Shumekova,KAZ,0.0
Mihaela Hogas,ROU,0.0
Martyna Baran,POL,0.0
Huidan Jung,KOR,0.0
Marlen Ehseluns,GER,0.0
Inessa Shumekova,KAZ,0.0
Ju-Lin de Visser,TPE,0.0
Vera Güntert,SUI,0.0
Maria Victoria Rodriguez,ARG,0.0
Alena Lifatova,KAZ,0.0
Sara Cabrera,ESP,0.0
Mathilde Pédronno,FRA,0.0
Jéssica Carolina Santos Rodrigues,POR,0.0
Laura Kivioja,FIN,0.0
Yuuka Takahashi,JPN,0.0
Ramona Härdi,SUI,0.0
Marte Bjerkreim Furnée,NOR,0.0
Abigél Mercs,HUN,0.0
Veronika Antosova,CZE,0.0
Anne Sofie Knutsen Birkedal,NOR,0.0
