Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Joy Beune,611,0.611,0.78
Marijke Groenewoud,61,0.061,0.24
Antoinette Rijpma-de Jong,9,0.009,0.186
Femke Kok,8,0.008,0.193
Angel Daleman,5,0.005,0.036
Esther Kiel,0,0.0,0.0
Sophie Exterkate,0,0.0,0.0
Mette ten Cate,0,0.0,0.0
Rosalie van Vliet,0,0.0,0.0
Sanne Westra,0,0.0,0.0
Evelien Vijn,0,0.0,0.0
Leonie Bats,0,0.0,0.0
Elisa Dul,0,0.0,0.0
Gioya Lancee,0,0.0,0.0
Pien Smit,0,0.0,0.0
Meike Veen,0,0.0,0.0
Jutta Leerdam,0,0.0,0.0
Chloé Hoogendoorn,0,0.0,0.0
Isabel Grevelt,0,0.0,0.001
Melissa Wijfje,0,0.0,0.002
Evi de Ruijter,0,0.0,0.0
