Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Joy Beune,0.8605,0.5479,0.6817
Marijke Groenewoud,0.433,0.0274,0.1126
Femke Kok,0.7004,0.0147,0.1702
Antoinette Rijpma-de Jong,0.7159,0.0144,0.1764
Angel Daleman,0.1782,0.001,0.0106
Esther Kiel,0.0,0.0,0.0
Sophie Exterkate,0.0,0.0,0.0
Mette ten Cate,0.0,0.0,0.0
Rosalie van Vliet,0.0,0.0,0.0
Sanne Westra,0.0,0.0,0.0
Evelien Vijn,0.0,0.0,0.0
Leonie Bats,0.0,0.0,0.0
Elisa Dul,0.0018,0.0,0.0
Gioya Lancee,0.0009,0.0,0.0
Pien Smit,0.0017,0.0,0.0
Meike Veen,0.0021,0.0,0.0
Jutta Leerdam,0.0084,0.0,0.0
Chloé Hoogendoorn,0.0207,0.0,0.0
Isabel Grevelt,0.0313,0.0,0.0001
Melissa Wijfje,0.0451,0.0,0.0005
Evi de Ruijter,0.0,0.0,0.0
