Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Stijn van de Bunt,328,0.328,0.971
Chris Huizinga,226,0.226,0.522
Beau Snellink,1,0.001,0.071
Remco Stam,0,0.0,0.0
Mats Bendijk,0,0.0,0.0
Thijs Wiersma,0,0.0,0.0
Ede-Konrad Kortlever,0,0.0,0.0
Patrick Roest,0,0.0,0.0
Daan Gelling,0,0.0,0.0
Jasper Krommenhoek,0,0.0,0.0
Albertus (Bart) Hoolwerf,0,0.0,0.0
Marwin Talsma,0,0.0,0.0
Tjerk de Boer,0,0.0,0.0
Kars Jansman,0,0.0,0.0
Wisse Slendebroek,0,0.0,0.0
Marcel Bosker,0,0.0,0.005
Jorrit Bergsma,0,0.0,0.002
Chris Brommersma,0,0.0,0.0
