Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Stijn van de Bunt,1.0,0.358,0.9819
Chris Huizinga,0.7771,0.1675,0.4116
Beau Snellink,0.6328,0.0009,0.059
Marcel Bosker,0.1913,0.0001,0.002
Jasper Krommenhoek,0.0098,0.0,0.0
Mats Bendijk,0.0001,0.0,0.0
Thijs Wiersma,0.0006,0.0,0.0
Ede-Konrad Kortlever,0.0007,0.0,0.0
Patrick Roest,0.0015,0.0,0.0
Daan Gelling,0.0105,0.0,0.0
Albertus (Bart) Hoolwerf,0.0252,0.0,0.0
Remco Stam,0.0143,0.0,0.0
Marwin Talsma,0.0158,0.0,0.0
Tjerk de Boer,0.0383,0.0,0.0
Kars Jansman,0.0631,0.0,0.0
Wisse Slendebroek,0.0753,0.0,0.0
Jorrit Bergsma,0.1436,0.0,0.0006
Chris Brommersma,0.0,0.0,0.0
