Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Stijn van de Bunt,1.0,0.3255,0.9778
Chris Huizinga,1.0,0.2151,0.5289
Beau Snellink,0.5991,0.0007,0.0469
Remco Stam,0.0092,0.0,0.0
Mats Bendijk,0.0,0.0,0.0
Thijs Wiersma,0.0002,0.0,0.0
Ede-Konrad Kortlever,0.0003,0.0,0.0
Patrick Roest,0.0005,0.0,0.0
Daan Gelling,0.0061,0.0,0.0
Jasper Krommenhoek,0.0056,0.0,0.0
Albertus (Bart) Hoolwerf,0.0156,0.0,0.0
Marwin Talsma,0.0091,0.0,0.0
Tjerk de Boer,0.0237,0.0,0.0
Kars Jansman,0.04,0.0,0.0
Wisse Slendebroek,0.0468,0.0,0.0
Marcel Bosker,0.1474,0.0,0.0015
Jorrit Bergsma,0.0964,0.0,0.0004
Chris Brommersma,0.0,0.0,0.0
