Athlete,Country,Win_Prob
Seung-Hoon Lee,KOR,0.0059
Andrea Giovannini,ITA,0.0667
Bart Swings,BEL,0.0757
Albertus (Bart) Hoolwerf,NED,0.0782
Livio Wenger,SUI,0.052
Yuhaochen Li,CHN,0.0907
Jorrit Bergsma,NED,0.4184
Fridtjof Petzold,GER,0.0131
Jhoan Sebastian Guzman Bitar,ESP,0.0023
Antoine Gélinas-Beaulieu,CAN,0.0
Jaewon Chung,KOR,0.1257
David Larue,CAN,0.0
Felix Maly,GER,0.0
Ethan Cepuran,USA,0.0015
Timothy Loubineaud,FRA,0.0041
Mathieu Belloir,FRA,0.0001
Shoumu Sasaki,JPN,0.0005
Indra Medard,BEL,0.0429
Adrian Octavian Fierar,ROU,0.0005
Jake Weidemann,CAN,0.0003
Daniele Di Stefano,ITA,0.0019
Viktor Hald Thorup,DEN,0.0007
Metoděj Jílek,CZE,0.0005
Yahor Damaratski,BLR,0.0
Wei-Lin Tai,TPE,0.0
Allan Dahl Johansson,NOR,0.0
Baoshuo Pan,CHN,0.0015
Jordan Stolz,USA,0.0128
Gabriel Odor,AUT,0.0015
Sigurd Holbø Dyrset,NOR,0.0
Motonaga Arito,JPN,0.0
Marcin Bachanek,POL,0.0
Philip Due Schmidt,DEN,0.0
Zihan Zhou,CHN,0.0
Seung-Min Jo,KOR,0.0
Kierryn Hughes,NZL,0.0
Hanbin Liu,CHN,0.0
Miguel Bravo,POR,0.0
Didrik Eng Strand,NOR,0.0024
Min-Seok Kim,HUN,0.0
Vadim Yakubovskiy,KAZ,0.0
Taiyo Morino,JPN,0.0
Jonathan Tobon,USA,0.0
Manuel Robla,ESP,0.0
Danila Semerikov,UZB,0.0
Peter Michael,NZL,0.0
Flavio Gross,SUI,0.0
Konrád Nagy,HUN,0.0
Szymon Palka,POL,0.0
Thibault Métraux,SUI,0.0
Kai in 't Veld,GRE,0.0
Alexander Farthofer,AUT,0.0
Mateusz Śliwka,POL,0.0
Andrey Zuyev,KAZ,0.0
Lukas Stekly,SVK,0.0
Tadeáš Procházka,CZE,0.0001
Cosmin Nedelea,ROU,0.0
Josh Whyte,NZL,0.0
Botond Bejczi,HUN,0.0
Bagdaulet Sagatov,KAZ,0.0
Vitaliy Chshigolev,KAZ,0.0
