Athlete,Country,Win_Prob
Wenjing Jin,CHN,0.0139
Mia Manganello,USA,0.1562
Marijke Groenewoud,NED,0.2528
Elisa Dul,NED,0.0039
Ji-Woo Park,KOR,0.0689
Michelle Uhrig,GER,0.0167
Ivanie Blondin,CAN,0.2056
Valerie Maltais,CAN,0.0406
Greta Myers,USA,0.0009
Binyu Yang,CHN,0.0395
Francesca Lollobrigida,ITA,0.1468
Kaitlyn McGregor,SUI,0.0005
Aurora Grinden Løvås,NOR,0.0071
Ayano Sato,JPN,0.0446
Ramona Härdi,SUI,0.0002
Bente Kerkhoff,NED,0.0
Jundan Hou,CHN,0.0
Momoka Horikawa,JPN,0.0
Leewon Lim,KOR,0.0
Josephine Schlörb,GER,0.0
Fran Vanhoutte,BEL,0.0
Zuzana Kursova,CZE,0.0018
Anastasija Semjonova,RUS,0.0
Elizaveta Golubeva,KAZ,0.0
Josie Hofmann,GER,0.0
Sandrine Tas,BEL,0.0
Violette Braun,FRA,0.0
Jeannine Rosner,AUT,0.0
Sofia Thorup,DEN,0.0
Natalia Jabrzyk,POL,0.0
Yoon-Jee Kim,KOR,0.0
Linda Rossi,ITA,0.0
Alice Marletti,ITA,0.0
Jéssica Carolina Santos Rodrigues,POR,0.0
Marte Bjerkreim Furnée,NOR,0.0
Julia Nizan,FRA,0.0
Marina Zueva,BLR,0.0
Arina Ilyachshenko,KAZ,0.0
Anna Molnar,AUT,0.0
Olga Piotrowska,POL,0.0
Abigél Mercs,HUN,0.0
Hanna Svenni,NOR,0.0
Lucie Korvasova,CZE,0.0
Gemma Cooper,GBR,0.0
Melissa Wijfje,NED,0.0
Natascha Lindenskov,DEN,0.0
Sara Cabrera,ESP,0.0
Katerina Kainova,CZE,0.0
Yuuka Takahashi,JPN,0.0
