Athlete,Country,Wins,Win_Prob,Podiums,Podium_Prob
Wesly Dijs,NED,9999,0.9999,10000,1.0
Anna Ostlender,GER,1,0.0001,10000,1.0
Lucie Korvasova,CZE,0,0.0,0,0.0
Martyna Baran,POL,0,0.0,0,0.0
Cosmin Nedelea,ROU,0,0.0,0,0.0
Iga Wojtasik,POL,0,0.0,0,0.0
Seong-Hyeon Park,KOR,0,0.0,0,0.0
Serena Pergher,ITA,0,0.0,0,0.0
Nikola Zdráhalova,CZE,0,0.0,0,0.0
Aleksandr Klenko,KAZ,0,0.0,0,0.0
Tuukka Suomalainen,FIN,0,0.0,0,0.0
Wenjing Jin,CHN,0,0.0,0,0.0
Nil Llop Izquierdo,ESP,0,0.0,1,0.0001
Sarah Warren,USA,0,0.0,0,0.0
Alexander Farthofer,AUT,0,0.0,0,0.0
Hendrik Dombek,GER,0,0.0,233,0.0233
Ivanie Blondin,CAN,0,0.0,2502,0.2502
Bjørn Magnussen,NOR,0,0.0,2587,0.2587
Bálint Bödei,HUN,0,0.0,4677,0.4677
Severin Widmer,SUI,0,0.0,0,0.0
