Athlete,Country,Wins,Win_Prob,Podiums,Podium_Prob
Kaitlyn McGregor,SUI,10000,1.0,10000,1.0
Natalia Jabrzyk,POL,0,0.0,7122,0.7122
Bjørn Magnussen,NOR,0,0.0,6352,0.6352
Gabriel Odor,AUT,0,0.0,5162,0.5162
Nil Llop Izquierdo,ESP,0,0.0,1204,0.1204
Martyna Baran,POL,0,0.0,83,0.0083
Hyeon-Min Oh,KOR,0,0.0,31,0.0031
Moritz Klein,GER,0,0.0,17,0.0017
Ivanie Blondin,CAN,0,0.0,21,0.0021
Wenjing Jin,CHN,0,0.0,8,0.0008
Bálint Bödei,HUN,0,0.0,0,0.0
Tuukka Suomalainen,FIN,0,0.0,0,0.0
Aleksandr Klenko,KAZ,0,0.0,0,0.0
Lucie Korvasova,CZE,0,0.0,0,0.0
Hendrik Dombek,GER,0,0.0,0,0.0
Xianghe Quan,CHN,0,0.0,0,0.0
