Athlete,Country,Wins,Win_Prob,Podiums,Podium_Prob
Emery Lehman,USA,3244,0.3244,7703,0.7703
Ethan Cepuran,USA,3220,0.322,7676,0.7676
Casey Dawson,USA,3171,0.3171,7673,0.7673
Peder Kongshaug,NOR,156,0.0156,1005,0.1005
Hallgeir Engebråten,NOR,86,0.0086,2185,0.2185
Sander Eitrem,NOR,40,0.004,473,0.0473
Albertus (Bart) Hoolwerf,NED,37,0.0037,1564,0.1564
Michele Malfatti,ITA,15,0.0015,360,0.036
Davide Ghiotto,ITA,13,0.0013,364,0.0364
Andrea Giovannini,ITA,9,0.0009,373,0.0373
Jorrit Bergsma,NED,7,0.0007,354,0.0354
Sigurd Henriksen,NOR,1,0.0001,12,0.0012
Chris Huizinga,NED,1,0.0001,70,0.007
Philip Due Schmidt,DEN,0,0.0,0,0.0
Bart Swings,BEL,0,0.0,1,0.0001
Livio Wenger,SUI,0,0.0,0,0.0
Flavio Gross,SUI,0,0.0,0,0.0
Thibault Métraux,SUI,0,0.0,0,0.0
David Larue,CAN,0,0.0,0,0.0
Mateusz Śliwka,POL,0,0.0,0,0.0
Szymon Palka,POL,0,0.0,0,0.0
Stefan Emele,GER,0,0.0,0,0.0
Viktor Hald Thorup,DEN,0,0.0,0,0.0
Stefan Due Schmidt,DEN,0,0.0,0,0.0
Indra Medard,BEL,0,0.0,1,0.0001
Vadim Yakubovskiy,KAZ,0,0.0,0,0.0
Nuraly Akzhol,KAZ,0,0.0,0,0.0
Vitaliy Chshigolev,KAZ,0,0.0,0,0.0
Andrey Zuyev,KAZ,0,0.0,0,0.0
Jaewon Chung,KOR,0,0.0,0,0.0
Mathias Vosté,BEL,0,0.0,0,0.0
Mark McCormack,NZL,0,0.0,0,0.0
Bálint Bödei,HUN,0,0.0,0,0.0
Botond Bejczi,HUN,0,0.0,0,0.0
Konrád Nagy,HUN,0,0.0,0,0.0
Peter Michael,NZL,0,0.0,0,0.0
Kierryn Hughes,NZL,0,0.0,0,0.0
Tadeáš Procházka,CZE,0,0.0,0,0.0
Metoděj Jílek,CZE,0,0.0,0,0.0
Jakub Koci,CZE,0,0.0,0,0.0
Vladimir Semirunniy,POL,0,0.0,0,0.0
Baoshuo Pan,CHN,0,0.0,0,0.0
Hojun Yang,KOR,0,0.0,0,0.0
Felix Maly,GER,0,0.0,0,0.0
Antoine Gélinas-Beaulieu,CAN,0,0.0,36,0.0036
Beau Snellink,NED,0,0.0,82,0.0082
Mathieu Belloir,FRA,0,0.0,14,0.0014
Marcel Bosker,NED,0,0.0,0,0.0
Seitaro Ichinohe,JPN,0,0.0,1,0.0001
Didrik Eng Strand,NOR,0,0.0,47,0.0047
Zhenlong Cong,CHN,0,0.0,1,0.0001
Timothy Loubineaud,FRA,0,0.0,0,0.0
Germain Deschamps,FRA,0,0.0,0,0.0
Riku Tsuchiya,JPN,0,0.0,0,0.0
Jason Suttels,BEL,0,0.0,0,0.0
Daniel Hall,CAN,0,0.0,2,0.0002
Valentin Thiebault,FRA,0,0.0,0,0.0
Hanbin Liu,CHN,0,0.0,0,0.0
Seung-Min Jo,KOR,0,0.0,0,0.0
Jake Weidemann,CAN,0,0.0,0,0.0
Zhongyan Ning,CHN,0,0.0,1,0.0001
Shoumu Sasaki,JPN,0,0.0,0,0.0
Yu Wu,CHN,0,0.0,0,0.0
Ted-Jan Bloemen,CAN,0,0.0,1,0.0001
Connor Howe,CAN,0,0.0,0,0.0
Motonaga Arito,JPN,0,0.0,0,0.0
Kazuya Yamada,JPN,0,0.0,0,0.0
Tjerk de Boer,NED,0,0.0,1,0.0001
Patrick Beckert,GER,0,0.0,0,0.0
Fridtjof Petzold,GER,0,0.0,0,0.0
Wenhao Li,CHN,0,0.0,0,0.0
Marcin Bachanek,POL,0,0.0,0,0.0
Josh Whyte,NZL,0,0.0,0,0.0
