Athlete,Country,Wins,Win_Prob,Podiums,Podium_Prob
Marijke Groenewoud,NED,2906,0.2906,5791,0.5791
Antoinette Rijpma-de Jong,NED,2219,0.2219,4878,0.4878
Joy Beune,NED,2166,0.2166,4815,0.4815
Valerie Maltais,CAN,666,0.0666,2334,0.2334
Ivanie Blondin,CAN,657,0.0657,2269,0.2269
Isabelle Weidemann,CAN,607,0.0607,2258,0.2258
Giorgia Birkeland,USA,391,0.0391,3365,0.3365
Hana Noake,JPN,101,0.0101,1328,0.1328
Ayano Sato,JPN,87,0.0087,739,0.0739
Miho Takagi,JPN,65,0.0065,783,0.0783
Mia Manganello,USA,53,0.0053,450,0.045
Brittany Bowe,USA,53,0.0053,493,0.0493
Sumire Kikuchi,JPN,23,0.0023,383,0.0383
Momoka Horikawa,JPN,3,0.0003,54,0.0054
Jiaxuan Li,CHN,2,0.0002,42,0.0042
Elisa Dul,NED,1,0.0001,5,0.0005
Karolina Bosiek,POL,0,0.0,0,0.0
Nikola Zdráhalova,CZE,0,0.0,0,0.0
Martina Sáblíková,CZE,0,0.0,0,0.0
Ahenaer Adake,CHN,0,0.0,0,0.0
Hanna Svenni,NOR,0,0.0,0,0.0
Wenjing Jin,CHN,0,0.0,0,0.0
Olga Piotrowska,POL,0,0.0,0,0.0
Nadja Wenger,SUI,0,0.0,0,0.0
Francesca Lollobrigida,ITA,0,0.0,0,0.0
Leewon Lim,KOR,0,0.0,0,0.0
Kaitlyn McGregor,SUI,0,0.0,0,0.0
Ramona Härdi,SUI,0,0.0,0,0.0
Vera Güntert,SUI,0,0.0,0,0.0
Alice Marletti,ITA,0,0.0,0,0.0
Linda Rossi,ITA,0,0.0,0,0.0
Zuzana Kursova,CZE,0,0.0,0,0.0
Magdalena Czyszczoń,POL,0,0.0,1,0.0001
Ji-Woo Park,KOR,0,0.0,0,0.0
Soo-Min Kang,KOR,0,0.0,0,0.0
Natalia Jabrzyk,POL,0,0.0,0,0.0
Arianna Fontana,ITA,0,0.0,0,0.0
Aurora Grinden Løvås,NOR,0,0.0,0,0.0
Arina Ilyachshenko,KAZ,0,0.0,0,0.0
Jundan Hou,CHN,0,0.0,11,0.0011
Mei Han,CHN,0,0.0,0,0.0
Josie Hofmann,GER,0,0.0,0,0.0
Lea Sophie Scholz,GER,0,0.0,0,0.0
Josephine Schlörb,GER,0,0.0,0,0.0
Greta Myers,USA,0,0.0,0,0.0
Nadezhda Morozova,KAZ,0,0.0,0,0.0
Elizaveta Golubeva,KAZ,0,0.0,0,0.0
Maira Jasch,GER,0,0.0,1,0.0001
Ragne Wiklund,NOR,0,0.0,0,0.0
Binyu Yang,CHN,0,0.0,0,0.0
Marte Bjerkreim Furnée,NOR,0,0.0,0,0.0
Zofia Braun,POL,0,0.0,0,0.0
Natalia Czerwonka,POL,0,0.0,0,0.0
Lucie Korvasova,CZE,0,0.0,0,0.0
Sandrine Tas,BEL,0,0.0,0,0.0
Isabelle van Elst,BEL,0,0.0,0,0.0
Fran Vanhoutte,BEL,0,0.0,0,0.0
Giorgia Aiello,ITA,0,0.0,0,0.0
