Athlete,Country,Wins,Win_Prob,Podiums,Podium_Prob
Cooper Mcleod,USA,2482,0.2482,4557,0.4557
Zach Stoppelmoor,USA,2333,0.2333,4339,0.4339
Zhongyan Ning,CHN,1267,0.1267,4486,0.4486
Jenning de Boo,NED,1016,0.1016,3416,0.3416
Tim Prins,NED,987,0.0987,3347,0.3347
Stefan Westenbroek,NED,670,0.067,3196,0.3196
Conor Mcdermott-Mostowy,USA,501,0.0501,2484,0.2484
Ziwen Lian,CHN,299,0.0299,885,0.0885
Janno Botman,NED,239,0.0239,1451,0.1451
Zhiwen Xue,CHN,105,0.0105,817,0.0817
Austin Kleba,USA,79,0.0079,639,0.0639
Piotr Michalski,POL,10,0.001,114,0.0114
Damian Żurek,POL,6,0.0006,113,0.0113
Zhihan Deng,CHN,2,0.0002,7,0.0007
Szymon Wojtakowski,POL,1,0.0001,3,0.0003
Siver Brattgjerd,NOR,1,0.0001,28,0.0028
Jhoan Sebastian Guzman Bitar,ESP,1,0.0001,3,0.0003
Didrik Eng Strand,NOR,1,0.0001,80,0.008
Nuraly Akzhol,KAZ,0,0.0,0,0.0
Livio Wenger,SUI,0,0.0,0,0.0
Flavio Gross,SUI,0,0.0,1,0.0001
Tianlong Li,CHN,0,0.0,1,0.0001
Wenhao Li,CHN,0,0.0,0,0.0
Aleksandr Klenko,KAZ,0,0.0,0,0.0
Lukács Soma,HUN,0,0.0,0,0.0
Nikita Vazhenin,KAZ,0,0.0,0,0.0
Konrád Nagy,HUN,0,0.0,0,0.0
Bálint Bödei,HUN,0,0.0,0,0.0
Botond Bejczi,HUN,0,0.0,0,0.0
Hyeon-Min Oh,KOR,0,0.0,3,0.0003
Bin Liu,CHN,0,0.0,0,0.0
Haonan Du,CHN,0,0.0,0,0.0
Max Kokko,FIN,0,0.0,0,0.0
Tuukka Suomalainen,FIN,0,0.0,0,0.0
Oliver Grob,SUI,0,0.0,0,0.0
Nil Llop Izquierdo,ESP,0,0.0,5,0.0005
Kyungmin Koo,KOR,0,0.0,2,0.0002
Sanghyeok Cho,KOR,0,0.0,0,0.0
Connor Howe,CAN,0,0.0,0,0.0
Anders Johnson,CAN,0,0.0,0,0.0
Laurent Dubreuil,CAN,0,0.0,1,0.0001
Joon-Ho Kim,KOR,0,0.0,0,0.0
Min Kyu Cha,KOR,0,0.0,0,0.0
Marek Kania,POL,0,0.0,12,0.0012
Henrik Fagerli Rukke,NOR,0,0.0,0,0.0
Pål Myhren Kristensen,NOR,0,0.0,0,0.0
Bjørn Magnussen,NOR,0,0.0,0,0.0
Daniel Milagros,ESP,0,0.0,2,0.0002
Moritz Klein,GER,0,0.0,2,0.0002
Hendrik Dombek,GER,0,0.0,4,0.0004
Stefan Emele,GER,0,0.0,1,0.0001
Kacper Abratkiewicz,POL,0,0.0,1,0.0001
Juuso Lehtonen,FIN,0,0.0,0,0.0
