Athlete,Country,Wins,Win_Prob,Podiums,Podium_Prob
Jutta Leerdam,NED,5082,0.5082,9994,0.9994
Angel Daleman,NED,4908,0.4908,9998,0.9998
Ivanie Blondin,CAN,4,0.0004,519,0.0519
Anna Boersma,NED,4,0.0004,2635,0.2635
Béatrice Lamarche,CAN,1,0.0001,493,0.0493
Marrit Fledderus,NED,1,0.0001,2596,0.2596
Jingziqian Wang,CHN,0,0.0,0,0.0
Aurora Grinden Løvås,NOR,0,0.0,0,0.0
Carina Jagtøyen,NOR,0,0.0,0,0.0
Julie Nistad Samsonsen,NOR,0,0.0,0,0.0
Nadezhda Morozova,KAZ,0,0.0,0,0.0
Ruining Tian,CHN,0,0.0,0,0.0
Qi Yin,CHN,0,0.0,0,0.0
Sarah Warren,USA,0,0.0,0,0.0
Chrysta Rands-Evans,USA,0,0.0,0,0.0
McKenzie Browne,USA,0,0.0,0,0.0
Marlen Ehseluns,GER,0,0.0,0,0.0
Kristina Silaeva,KAZ,0,0.0,0,0.0
Darja Vazhenina,KAZ,0,0.0,0,0.0
Lea Sophie Scholz,GER,0,0.0,0,0.0
Sophie Warmuth,GER,0,0.0,0,0.0
Anna Ostlender,GER,0,0.0,0,0.0
Martyna Baran,POL,0,0.0,0,0.0
Karolina Bosiek,POL,0,0.0,7,0.0007
Kaja Ziomek-Nogal,POL,0,0.0,11,0.0011
Brooklyn McDougall,CAN,0,0.0,0,0.0
Andżelika Wójcik,POL,0,0.0,27,0.0027
Dione Voskamp,NED,0,0.0,7,0.0007
Naomi Verkerk,NED,0,0.0,6,0.0006
Carolina Hiller-Donnelly,CAN,0,0.0,476,0.0476
Suzanne Schulting,NED,0,0.0,625,0.0625
Femke Kok,NED,0,0.0,2606,0.2606
Shihui Yu,CHN,0,0.0,0,0.0
