Event,Gender,Slot,Win_Prob,Podium_Prob
5000 meter (Men),Men,Trial Rank 1,0.3189,0.8348
Mass Start (Men),Men,Trial Rank 1,0.3139,0.4979
10.000 meter (Men),Men,Trial Rank 1,0.2653,0.9889
500 meter (Men),Men,Trial Rank 1,0.1907,0.4566
Mass Start (Men),Men,Trial Rank 2,0.1872,0.3942
5000 meter (Men),Men,Trial Rank 2,0.1846,0.5302
1000 meter (Men),Men,Trial Rank 1,0.1212,0.6566
1500 meter (Men),Men,Trial Rank 1,0.0442,0.3438
1000 meter (Men),Men,Trial Rank 2,0.0304,0.3161
500 meter (Men),Men,Trial Rank 2,0.0304,0.1018
5000 meter (Men),Men,Trial Rank 3,0.023,0.0901
1000 meter (Men),Men,Trial Rank 3,0.019,0.2478
1500 meter (Men),Men,Trial Rank 2,0.0186,0.1748
500 meter (Men),Men,Trial Rank 3,0.0143,0.0491
1500 meter (Men),Men,Trial Rank 3,0.0064,0.0643
10.000 meter (Men),Men,Trial Rank 2,0.0016,0.0524
10.000 meter (Men),Men,Trial Rank 3,0.0004,0.0322
500 meter (Women),Women,Trial Rank 1,0.737,0.8797
1500 meter (Women),Women,Trial Rank 1,0.4875,0.6615
5000 meter (Women),Women,Trial Rank 1,0.3526,0.7399
5000 meter (Women),Women,Trial Rank 2,0.2591,0.5975
1000 meter (Women),Women,Trial Rank 1,0.2152,0.7908
Mass Start (Women),Women,Trial Rank 1,0.1826,0.3806
3000 meter (Women),Women,Trial Rank 1,0.1629,0.7236
1000 meter (Women),Women,Trial Rank 2,0.1451,0.6163
3000 meter (Women),Women,Trial Rank 2,0.1038,0.5096
5000 meter (Women),Women,Trial Rank 3,0.0833,0.2603
1500 meter (Women),Women,Trial Rank 2,0.0709,0.2715
500 meter (Women),Women,Trial Rank 2,0.0523,0.267
1500 meter (Women),Women,Trial Rank 3,0.047,0.2191
1000 meter (Women),Women,Trial Rank 3,0.0339,0.2095
3000 meter (Women),Women,Trial Rank 3,0.0313,0.1955
Mass Start (Women),Women,Trial Rank 2,0.0295,0.0812
500 meter (Women),Women,Trial Rank 3,0.0196,0.1591
Mass Start (Women),Women,Trial Rank 3,0.0132,0.0321
