Event,Gender,Slot,Win_Prob,Podium_Prob
Mass Start (Men),Men,Top Potential 1,0.4241,0.5938
5000 meter (Men),Men,Top Potential 1,0.3249,0.977
10.000 meter (Men),Men,Top Potential 1,0.2666,0.9949
500 meter (Men),Men,Top Potential 1,0.2455,0.5735
5000 meter (Men),Men,Top Potential 2,0.2151,0.5242
1000 meter (Men),Men,Top Potential 1,0.1585,0.8003
Mass Start (Men),Men,Top Potential 2,0.077,0.2983
1500 meter (Men),Men,Top Potential 1,0.065,0.4528
1000 meter (Men),Men,Top Potential 2,0.0127,0.2353
500 meter (Men),Men,Top Potential 2,0.0093,0.084
1500 meter (Men),Men,Top Potential 2,0.0077,0.1389
1000 meter (Men),Men,Top Potential 3,0.0056,0.2107
1500 meter (Men),Men,Top Potential 3,0.0024,0.0304
5000 meter (Men),Men,Top Potential 3,0.0017,0.0824
500 meter (Men),Men,Top Potential 3,0.001,0.0193
10.000 meter (Men),Men,Top Potential 2,0.0008,0.093
10.000 meter (Men),Men,Top Potential 3,0.0,0.0223
500 meter (Women),Women,Top Potential 1,0.8006,0.9376
1500 meter (Women),Women,Top Potential 1,0.6289,0.7875
5000 meter (Women),Women,Top Potential 1,0.3585,0.6358
5000 meter (Women),Women,Top Potential 2,0.3445,0.8639
Mass Start (Women),Women,Top Potential 1,0.2451,0.4981
1000 meter (Women),Women,Top Potential 1,0.2349,0.7476
3000 meter (Women),Women,Top Potential 1,0.1921,0.8456
1000 meter (Women),Women,Top Potential 2,0.1798,0.8586
3000 meter (Women),Women,Top Potential 2,0.1024,0.4924
1500 meter (Women),Women,Top Potential 2,0.0535,0.2577
500 meter (Women),Women,Top Potential 2,0.029,0.3663
1500 meter (Women),Women,Top Potential 3,0.0148,0.216
3000 meter (Women),Women,Top Potential 3,0.0145,0.1856
5000 meter (Women),Women,Top Potential 3,0.0133,0.1841
1000 meter (Women),Women,Top Potential 3,0.0051,0.1254
500 meter (Women),Women,Top Potential 3,0.0049,0.168
Mass Start (Women),Women,Top Potential 2,0.0042,0.0504
Mass Start (Women),Women,Top Potential 3,0.0,0.0
